Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1943.9,0.12199,123.28,15.314,0.12986,0.29968,0.055732,0.084896,0.070443,0.063238,0.7038443716183532
1939.3,0.12314,123.36,15.008,0.1298,0.29969,0.055723,0.084971,0.070356,0.063322,0.7038609803769377
1945.8,0.12243,122.69,15.433,0.12994,0.30015,0.055721,0.084799,0.070563,0.063204,0.7043792935056667
1905.0,0.12372,123.41,15.414,0.1298,0.30073,0.05572,0.084896,0.070417,0.063221,0.7047810201682035
1925.5,0.12244,123.25,15.254,0.1298,0.3009,0.055723,0.084937,0.070387,0.063268,0.705009036331073
1961.6,0.1212,122.56,15.258,0.12992,0.30076,0.055722,0.084855,0.070514,0.063257,0.7050249580860165
1938.9,0.12196,123.82,15.36,0.12982,0.30123,0.055745,0.084931,0.070391,0.063222,0.7053459949554871
1954.9,0.12225,122.85,15.426,0.12995,0.30119,0.055728,0.084799,0.070565,0.063198,0.7054374009806654
1908.0,0.12519,123.13,15.282,0.12983,0.30273,0.055708,0.08486,0.070463,0.063245,0.7068354047009489
1943.9,0.12199,123.28,15.678,0.12994,0.30325,0.05574,0.084787,0.070561,0.063133,0.707410653465259
