Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
225.84,760.08,66.357,11.615,9.3252e-05,0.2776,0.048075,0.030134,0.030312,0.3491,0.023799,0.12650305676271376
225.4,795.13,66.506,11.718,9.8072e-05,0.27781,0.048287,0.03011,0.030349,0.35008,0.023919,0.1267587292359165
223.8,699.92,66.744,11.61,9.3037e-05,0.27695,0.047715,0.030193,0.030215,0.35339,0.023608,0.1270112370734484
225.78,661.96,66.807,11.629,9.319e-05,0.27665,0.047379,0.03027,0.030128,0.35712,0.023464,0.1275028370061859
225.05,745.82,66.746,11.783,9.4521e-05,0.27736,0.047976,0.03017,0.030247,0.35584,0.023779,0.1275610267633497
226.26,766.64,66.008,11.941,9.3373e-05,0.2777,0.04807,0.030184,0.030245,0.35556,0.023869,0.1276052171506698
229.28,744.09,65.38,11.677,8.9107e-05,0.27777,0.047892,0.030192,0.030253,0.35825,0.02375,0.12801916929985238
216.86,761.86,66.628,12.153,9.2675e-05,0.27721,0.048227,0.030147,0.030249,0.35988,0.02394,0.12827528583664663
224.84,705.47,67.648,11.398,9.5764e-05,0.27686,0.047748,0.030156,0.030261,0.36123,0.023568,0.1283040557821491
228.51,766.61,65.551,11.626,9.3113e-05,0.2779,0.048059,0.030154,0.03031,0.36111,0.023816,0.12855805970748005
