Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3245.6,7.4395,380.95,7.1252,0.12871,0.069047,0.11675,0.15943,0.60366,0.13839,0.53481,0.14329,0.059602,1.9536885524350633
3192.1,7.1352,396.71,7.1105,0.12901,0.067976,0.11704,0.16,0.5517,0.13696,0.67842,0.13664,0.059815,2.037561064276546
3192.4,7.0834,397.12,7.117,0.12896,0.067876,0.11704,0.16002,0.56347,0.13695,0.68316,0.13668,0.059811,2.0539466501445207
3191.5,7.0834,393.93,7.0316,0.12789,0.068946,0.11742,0.15942,0.41263,0.13778,0.84307,0.13061,0.059134,2.0568988264164005
3167.2,7.0741,402.25,7.0105,0.1279,0.068693,0.11791,0.15905,0.42238,0.13733,0.84667,0.12627,0.059002,2.0652013201561537
3166.0,7.1312,400.54,6.9609,0.12726,0.069482,0.11828,0.15834,0.37263,0.13799,0.90211,0.12313,0.058579,2.0677968330759224
3152.3,7.0639,402.39,7.0191,0.12827,0.068478,0.11777,0.15934,0.45043,0.13706,0.82319,0.12722,0.059218,2.0709723180541495
3124.9,7.9284,416.67,6.8177,0.12923,0.070086,0.11952,0.15721,0.41258,0.1369,0.88283,0.11393,0.058608,2.080899707242341
3140.3,7.0741,402.34,6.9736,0.12768,0.069097,0.11817,0.15869,0.40391,0.13751,0.88646,0.12366,0.058861,2.0840365708976365
3166.6,7.0741,402.25,6.9802,0.12736,0.069154,0.11822,0.15852,0.38722,0.13775,0.90807,0.12365,0.058662,2.0886147685812384
