Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
689.42,0.65773,156.47,2.0967,0.16648,0.69651,0.24592,0.091065,0.19118,0.17374,0.082667,0.16558,0.10801,1.9211517146261514
689.43,0.72071,156.63,2.0312,0.16828,0.73828,0.24497,0.091367,0.19192,0.1735,0.083795,0.16726,0.10865,1.9680191785887649
675.0,0.70399,157.35,2.061,0.16748,0.74839,0.24539,0.091046,0.19149,0.17361,0.083228,0.16658,0.10834,1.9755490617884837
703.62,0.7228,162.7,2.0289,0.1684,0.8222,0.24493,0.091412,0.19202,0.1735,0.083971,0.16718,0.10873,2.052342951819751
677.72,0.66376,157.74,2.1382,0.16544,0.84205,0.24647,0.090887,0.19072,0.1739,0.082013,0.16463,0.10763,2.0637455586819673
695.15,0.71362,138.73,2.0613,0.16732,0.93297,0.24516,0.091903,0.19142,0.17367,0.08293,0.16686,0.10831,2.1605280568588436
694.4,0.68077,138.18,2.0836,0.16669,0.94084,0.24551,0.091772,0.19118,0.17374,0.08254,0.16628,0.10807,2.166617554400557
652.03,0.42021,144.11,2.4691,0.15772,1.0079,0.25273,0.092067,0.18951,0.17447,0.079128,0.15514,0.1046,2.213251937127697
686.94,0.65913,132.75,2.1222,0.16565,1.0268,0.246,0.091873,0.19068,0.17389,0.081787,0.16545,0.10767,2.249836636794218
719.2,0.5345,142.68,2.1173,0.16572,1.0393,0.24656,0.091168,0.1913,0.17378,0.082392,0.16474,0.10772,2.2626678428995066
