Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
694.63,0.40996,123.91,4.8877,0.13705,0.10267,0.05348,0.25229,0.3123,0.1138,0.11064,0.032801,0.13769,1.2527249479217384
697.7,0.40973,124.45,4.8943,0.13699,0.10261,0.053355,0.25233,0.32761,0.11379,0.11058,0.032783,0.13765,1.2677081471531833
699.38,0.40094,125.88,4.8924,0.13699,0.10267,0.053246,0.25231,0.32941,0.11376,0.11107,0.032961,0.1377,1.270116197340687
701.05,0.40347,123.44,4.8946,0.13698,0.10259,0.053328,0.25234,0.33126,0.1138,0.11071,0.032769,0.13766,1.2714348000378988
691.75,0.41349,123.75,4.8553,0.1373,0.10294,0.054116,0.25213,0.32977,0.11378,0.11082,0.03293,0.1378,1.2715806111462091
694.88,0.4035,123.79,4.8808,0.1371,0.10274,0.053536,0.25226,0.33124,0.11379,0.11097,0.032896,0.13774,1.2722712942373304
691.62,0.40884,125.47,4.8672,0.13721,0.10289,0.053775,0.25217,0.33173,0.11377,0.11107,0.033018,0.13778,1.273406461962068
694.94,0.41453,123.75,4.8578,0.13727,0.10291,0.054102,0.25215,0.33227,0.11378,0.1107,0.032888,0.13777,1.273822792149172
694.72,0.40327,123.31,4.8944,0.137,0.10262,0.053301,0.25232,0.33887,0.11381,0.1108,0.03281,0.1377,1.2792363965251357
694.8,0.40935,123.69,4.8511,0.13732,0.10297,0.054163,0.25212,0.33719,0.11377,0.111,0.032969,0.13781,1.2793050954663623
