Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
722.7,0.35396,121.59,17.412,0.055549,0.18539,0.12855,0.069983,0.084841,0.062313,0.586627883925804
722.7,0.35396,121.59,17.503,0.055555,0.18556,0.12859,0.070008,0.084825,0.062294,0.5868325556415332
722.62,0.35499,121.67,17.508,0.055557,0.18671,0.1286,0.07001,0.08482,0.062289,0.5879864356758701
725.93,0.35109,121.94,17.63,0.05557,0.18697,0.12862,0.070025,0.084812,0.062268,0.5882582541467951
723.03,0.35284,121.14,17.573,0.055558,0.18731,0.12863,0.070049,0.084807,0.062287,0.5886471328333328
729.74,0.35113,120.33,17.813,0.055583,0.1878,0.1288,0.070202,0.084709,0.062226,0.5893224663443984
732.81,0.35094,120.25,17.93,0.055596,0.1905,0.12887,0.070258,0.084667,0.062192,0.5920851076734356
720.33,0.3523,121.25,18.082,0.055585,0.19087,0.1288,0.070145,0.084752,0.062206,0.5923575025890901
720.73,0.35014,121.5,18.152,0.055586,0.19106,0.12879,0.070138,0.084757,0.062203,0.5925248143293906
720.37,0.35002,121.6,18.122,0.055585,0.19114,0.12877,0.070119,0.08477,0.062209,0.592587082014227
