Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
55.592,0.56705,30.023,2.8369,4.4273e-07,0.074884,0.11012,0.05388,0.13615,0.052962,0.28283,0.7108251960567286
55.283,0.56708,30.724,2.8032,4.4626e-07,0.075091,0.11057,0.053903,0.13609,0.052878,0.2856,0.7141326068365169
57.296,0.56858,29.948,3.0685,4.4403e-07,0.074104,0.10665,0.0532,0.13521,0.053714,0.30369,0.726565775573734
56.747,0.55924,30.256,2.8316,4.4007e-07,0.074787,0.11039,0.054053,0.13642,0.052964,0.30614,0.7347526398701865
56.967,0.63273,30.672,2.8809,4.6771e-07,0.07497,0.10935,0.053601,0.13524,0.053073,0.3122,0.7384317111454584
55.793,0.50992,29.094,2.7751,4.3457e-07,0.074718,0.11159,0.054534,0.1375,0.05286,0.30888,0.7400806613807447
55.508,0.59966,30.572,2.8237,4.4058e-07,0.075118,0.11014,0.05379,0.13575,0.052935,0.31353,0.7412686379962496
55.439,0.56708,29.555,2.8711,4.4005e-07,0.074744,0.10957,0.053772,0.13606,0.053051,0.31849,0.7456821460356589
54.824,0.60731,29.749,2.8253,4.4387e-07,0.075133,0.11008,0.053754,0.13574,0.052924,0.34053,0.7681567159701687
53.606,0.56869,29.98,2.7772,4.1378e-07,0.075232,0.11074,0.053949,0.13627,0.052848,0.34084,0.7698763461379055
