Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1491.8,0.16573,128.3,8.2677,0.064725,0.12846,0.20571,0.090124,0.06662,0.055132,0.6107761490980268
1479.3,0.16726,128.4,8.3189,0.064785,0.12845,0.20643,0.090058,0.066588,0.055137,0.6114408101814265
1478.9,0.16634,128.68,8.3269,0.064782,0.12842,0.20674,0.09006,0.066591,0.055143,0.6117404971919169
1491.6,0.16665,127.26,8.2749,0.064778,0.12851,0.20681,0.090077,0.066602,0.05513,0.6119063689754329
1445.3,0.16896,128.41,8.3236,0.064787,0.12845,0.20704,0.090067,0.066574,0.055161,0.6120818540462584
1449.2,0.1707,128.28,8.3239,0.064795,0.12848,0.20717,0.090053,0.066565,0.055144,0.6122097356275912
1448.0,0.16834,127.21,8.3158,0.06482,0.1285,0.20753,0.090048,0.066574,0.055167,0.6126319295191851
1445.8,0.16921,128.28,8.4527,0.064937,0.12839,0.20785,0.089905,0.066523,0.055166,0.6127691810130806
1477.0,0.16644,126.73,8.0582,0.064523,0.12864,0.20768,0.090372,0.066693,0.055138,0.6130457067482591
1473.9,0.16695,129.34,8.2643,0.064682,0.12844,0.20888,0.090162,0.066619,0.055139,0.6139168582460752
