Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
81.379,0.0012989,19.237,4.7736,1.3613e-08,0.27669,0.040149,0.02914,0.029555,0.18409,0.016366,0.09599748523819936
80.916,0.0012219,18.768,4.6014,1.387e-08,0.27786,0.040578,0.02892,0.029589,0.19427,0.016327,0.09792426477633376
81.66,0.0012009,18.436,4.5852,1.3409e-08,0.27829,0.040563,0.028922,0.029579,0.19847,0.016332,0.09869311075772354
80.125,0.0012188,18.646,4.6494,1.3348e-08,0.27758,0.040532,0.028963,0.029584,0.20259,0.01635,0.09926700676965532
77.739,0.0012838,18.671,4.5956,1.4076e-08,0.27757,0.040797,0.028853,0.029627,0.21338,0.016336,0.10109288394790196
80.121,0.0011424,18.398,4.6444,1.2206e-08,0.27783,0.040641,0.028932,0.029577,0.21399,0.016376,0.10122366875752926
80.317,0.00074914,18.717,4.6416,1.3491e-08,0.27693,0.040628,0.028913,0.029587,0.21573,0.016273,0.10134304073333805
80.208,0.0012063,18.786,4.5707,1.3345e-08,0.27802,0.040782,0.028842,0.029602,0.22557,0.016338,0.1031929635763808
77.966,0.0012149,19.365,4.6281,1.3563e-08,0.27702,0.040854,0.02884,0.02962,0.23764,0.016349,0.10505417494988949
80.465,0.0012223,18.796,4.555,1.3552e-08,0.27814,0.040788,0.028831,0.029603,0.24397,0.016331,0.1062780766439884
