Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
254.75,1.6569,188.54,12.549,0.058626,0.13973,0.10919,0.54281,0.034832,0.13121,0.20557,0.036021,0.22182,1.4798033156104242
256.51,1.6739,188.14,12.321,0.058554,0.13953,0.10917,0.55415,0.034628,0.13121,0.19728,0.036306,0.22177,1.4825905130192794
255.24,1.659,188.62,12.681,0.05873,0.13982,0.10922,0.54526,0.034979,0.1312,0.2106,0.035833,0.22185,1.4875056402214972
258.39,1.5934,189.57,12.549,0.059198,0.13991,0.10919,0.55141,0.035359,0.13122,0.20574,0.03572,0.22192,1.4896756590810383
255.16,1.6624,188.53,12.379,0.058543,0.13959,0.10916,0.56031,0.034667,0.13122,0.19951,0.036243,0.22178,1.491030783012211
255.94,1.686,185.73,12.54,0.058471,0.13967,0.10921,0.55789,0.034712,0.13122,0.20306,0.036114,0.22179,1.4921281824671784
263.54,1.7339,182.33,12.291,0.058525,0.13941,0.10925,0.57042,0.034579,0.13121,0.19296,0.036381,0.22174,1.4944740092363782
258.31,1.7677,184.03,12.543,0.058229,0.13947,0.10928,0.56608,0.034409,0.13118,0.20361,0.036264,0.22173,1.5002503803184724
251.86,1.6286,192.22,12.836,0.058804,0.13998,0.1092,0.55485,0.035127,0.1312,0.22036,0.035623,0.2219,1.5070468782950905
253.98,1.7105,190.24,12.556,0.058425,0.13958,0.10922,0.5685,0.034558,0.13117,0.2088,0.036129,0.22178,1.50815636847254
