Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
158.37,0.16675,493.55,1.1011,0.059587,1.5776,0.11219,0.13571,0.18454,0.095332,2.164969728277243
157.55,0.17099,491.88,1.1166,0.05888,1.5861,0.11164,0.13513,0.18391,0.094742,2.1704239980706936
158.03,0.16073,496.11,1.3176,0.053953,1.6341,0.10738,0.13165,0.17744,0.08879,2.193275642280823
159.61,0.15858,496.98,1.0615,0.061219,1.599,0.11347,0.13704,0.186,0.096729,2.1934532188957823
160.11,0.16521,497.1,1.0479,0.061651,1.5975,0.11383,0.13723,0.18646,0.097192,2.1939092166850673
160.65,0.15857,494.46,1.1051,0.059936,1.6056,0.11232,0.13611,0.18459,0.095381,2.1939293552934926
163.72,0.15706,485.53,1.2575,0.055964,1.6457,0.10885,0.13323,0.17973,0.090847,2.214316431332142
127.88,0.056135,480.38,1.413,0.050504,1.7206,0.10532,0.13262,0.1726,0.08318,2.26479581071444
162.16,0.14982,480.84,1.563,0.049454,1.7671,0.10302,0.128,0.17054,0.082638,2.3007260819248865
153.75,0.094115,486.4,1.3966,0.05265,1.7651,0.10617,0.13273,0.17488,0.085964,2.317500800328882
