10.0, 0.528217
20.0, 0.282889
30.0, 0.218437
40.0, 0.203536
50.0, 0.195316
60.0, 0.183566
70.0, 0.175283
80.0, 0.173253
90.0, 0.173253
100.0, 0.16702
110.0, 0.16702
120.0, 0.16702
130.0, 0.156255
140.0, 0.151937
150.0, 0.151786
160.0, 0.14666
170.0, 0.144375
180.0, 0.143179
190.0, 0.139311
200.0, 0.138794
210.0, 0.135407
220.0, 0.135407
230.0, 0.135407
240.0, 0.133298
250.0, 0.133284
260.0, 0.133284
270.0, 0.133167
280.0, 0.133167
290.0, 0.130977
300.0, 0.127563
310.0, 0.127563
320.0, 0.127563
330.0, 0.127171
340.0, 0.126352
350.0, 0.126352
360.0, 0.126352
370.0, 0.125743
380.0, 0.125448
390.0, 0.125448
400.0, 0.125225
410.0, 0.125223
420.0, 0.125212
430.0, 0.124309
440.0, 0.124309
450.0, 0.124309
460.0, 0.124309
470.0, 0.124309
480.0, 0.124309
490.0, 0.124309
500.0, 0.1242
510.0, 0.1242
520.0, 0.1242
