iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,16.722,84.167,63.01,2.8644,0.5347038161547614,0.12093484157328593,0.5731985718116088
2,110.96,53.414,35.675,2.6662,0.5555194416156825,0.12041171954302164,0.5938476823586162
3,983.64,37.691,71.04,1.9036,1.1371392591884988,0.13158310566381068,1.179023462576056
4,119.99,56.463,78.311,3.6602,0.21759570857771052,0.11134117829587624,0.25303670636864
5,224.43,230.36,61.585,8.2937,0.031030918772007067,0.15714754809748416,0.08105253692097902
6,230.25,188.99,64.283,8.2484,0.01251873117737279,0.15266231498830551,0.06111265528585432
7,240.51,191.97,63.614,8.1589,0.014629751697835584,0.15217818006172124,0.06306957087293848
8,233.24,195.88,62.806,8.2359,0.015277980132593473,0.1553264126289689,0.06471991285785707
9,231.25,196.36,63.969,8.433,0.011934983280137425,0.15402790586748055,0.06096358846594278
10,231.37,197.05,63.885,8.38,0.012070379854321047,0.1540097566225751,0.061093207956046225
11,232.54,201.52,63.586,8.3729,0.011770001395415858,0.15352643214130918,0.06063898253651945
