Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
35.906,2.645,480.69,19.341,1.4265,0.41795,0.11862,0.12324,0.14946,0.15303,0.0753,0.051819,0.094834,2.610717150046883
35.947,2.6392,480.69,19.34,1.4269,0.41853,0.11858,0.12324,0.14949,0.15304,0.075386,0.051769,0.094757,2.6117194188343142
35.767,2.6484,482.52,19.342,1.4326,0.42032,0.11857,0.12318,0.14938,0.15296,0.075179,0.051841,0.094833,2.6188559305104233
35.739,2.6427,481.46,19.319,1.4284,0.42498,0.11846,0.12319,0.14948,0.153,0.07533,0.051782,0.094895,2.6194895198428996
35.896,2.6374,481.53,19.394,1.4323,0.42284,0.11876,0.12327,0.14959,0.153,0.075487,0.051742,0.094635,2.621621914788121
35.703,2.618,479.7,19.289,1.4319,0.42962,0.11821,0.12322,0.14981,0.15305,0.075886,0.051539,0.094845,2.628067810474875
36.281,2.6824,480.6,19.364,1.4707,0.3953,0.11906,0.12337,0.14895,0.15307,0.074501,0.052195,0.094918,2.6320622785958054
35.497,2.6135,480.67,19.341,1.4291,0.43734,0.11832,0.12327,0.15002,0.15298,0.076107,0.051466,0.094787,2.6333881896730635
35.467,2.6088,480.67,19.343,1.4276,0.43964,0.11828,0.12328,0.15009,0.15298,0.076218,0.051416,0.094762,2.6343177447021935
35.77,2.6712,481.69,19.347,1.4561,0.41484,0.11878,0.12325,0.14923,0.15298,0.074826,0.052045,0.095078,2.6371254552689622
