Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
30.79,0.0049402,47.74,1.0509,0.14006,0.082965,0.29871,0.22867,0.056752,0.043425,0.1146,0.058978,0.14193,1.1660929731540135
31.592,0.0052032,47.743,1.0523,0.14007,0.082838,0.30148,0.22871,0.056958,0.043431,0.11452,0.058911,0.14188,1.1687878142535595
31.766,0.0049237,45.8,1.0141,0.1402,0.082279,0.31405,0.22892,0.057687,0.043735,0.1145,0.058827,0.14226,1.182455942217603
26.663,0.0046026,48.093,1.0532,0.13988,0.084283,0.33763,0.22837,0.055988,0.043139,0.11477,0.059266,0.14161,1.2049334811731882
25.332,0.0047554,47.791,1.0176,0.13994,0.084431,0.34249,0.22841,0.05669,0.043233,0.11496,0.059325,0.14151,1.210991109185628
325.56,30.201,75.276,9.7854,0.13189,0.11071,0.40524,0.22249,0.040669,0.034477,0.1075,0.05111,0.13939,1.2434710009437353
326.98,29.421,74.947,9.7716,0.13186,0.11072,0.40592,0.2225,0.040715,0.034566,0.10755,0.051095,0.13944,1.244363424355624
327.07,29.326,74.915,9.7112,0.13187,0.11071,0.40693,0.22245,0.040852,0.034531,0.10748,0.051076,0.13932,1.2452156139038126
327.77,30.904,75.131,9.7407,0.13187,0.11071,0.40731,0.22243,0.040843,0.034456,0.10749,0.05105,0.13933,1.2454901160483074
326.97,29.343,74.875,9.6824,0.13187,0.11071,0.40806,0.22242,0.04092,0.034507,0.10745,0.051064,0.13925,1.246255769056197
