Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1835.5,0.17699,159.73,3.3506,0.11899,0.099736,0.084034,0.061321,0.1134,0.55209,0.13644,0.22102,0.04413,1.4311663241536972
1835.5,0.17095,162.7,3.3998,0.11903,0.099362,0.083261,0.06014,0.11335,0.56429,0.13622,0.22102,0.044258,1.4409348293264783
1825.5,0.17094,163.96,3.4067,0.11908,0.099379,0.083152,0.05997,0.11329,0.56789,0.1362,0.22102,0.044291,1.4442640008045546
1834.9,0.16967,162.29,3.4048,0.11905,0.099347,0.083139,0.059966,0.11334,0.5762,0.13619,0.22103,0.044269,1.4525321275526082
1883.4,0.17052,162.76,3.42,0.11879,0.099051,0.08325,0.060074,0.11362,0.58062,0.13619,0.221,0.044218,1.456818106526336
1811.7,0.17446,163.44,3.3747,0.11909,0.099599,0.083595,0.060637,0.11324,0.57985,0.13632,0.22101,0.044252,1.457604345611826
1830.4,0.1662,162.72,3.5177,0.11945,0.099551,0.081553,0.05764,0.11319,0.59194,0.13581,0.22098,0.044408,1.4645194521221452
1717.7,0.16933,162.91,3.402,0.11977,0.10036,0.08252,0.059145,0.11263,0.58849,0.13614,0.22104,0.044453,1.4645551787608704
1838.4,0.16878,162.85,3.3906,0.11895,0.099165,0.083338,0.060243,0.11337,0.58925,0.13624,0.22104,0.04427,1.4658682196152395
1840.5,0.17088,163.25,3.3154,0.11869,0.098906,0.084463,0.061891,0.11347,0.59268,0.13653,0.22108,0.044201,1.4719031712577058
