Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.00037934,4.1259e-08,805.25,473.49,188.52,806.12,88.932,3.9166,0.34948,0.15492,0.057867,0.14555,0.092134,0.11096,0.044756,0.22638,0.056767,1.238817665484883
0.0003811,4.132e-08,805.3,473.47,183.93,806.12,88.933,3.9104,0.36247,0.15519,0.05793,0.1456,0.092036,0.11134,0.044903,0.22639,0.05672,1.2525867060701334
0.00036318,3.0225e-08,804.91,476.9,183.31,806.12,86.816,4.1347,0.35699,0.15783,0.058932,0.14766,0.091911,0.12014,0.047141,0.22614,0.053894,1.2606343487548664
0.00035453,3.1388e-08,804.91,476.91,182.55,805.88,86.808,4.1361,0.36053,0.15792,0.058958,0.14771,0.091899,0.12028,0.047244,0.22614,0.053791,1.2644643408861065
0.00035138,3.1413e-08,804.91,479.12,201.2,805.88,86.537,4.148,0.38371,0.15651,0.058601,0.14734,0.092304,0.11777,0.046264,0.22615,0.054211,1.2828519475278557
0.00018781,3.1799e-08,804.91,473.53,181.19,806.09,89.43,4.072,0.38191,0.15768,0.059115,0.14769,0.091481,0.11797,0.046864,0.22641,0.054161,1.2832802910579195
0.00039167,4.1343e-08,805.23,471.79,185.25,806.12,91.654,3.7107,0.42193,0.153,0.05728,0.1438,0.092104,0.1062,0.043835,0.2267,0.059908,1.3047548205152644
0.00035445,3.1387e-08,804.91,477.5,173.39,806.11,86.726,4.1389,0.407,0.15873,0.059154,0.14795,0.091723,0.12222,0.047818,0.22611,0.053513,1.3142129152222917
0.00037752,4.1939e-08,805.25,473.37,180.56,806.13,85.095,3.9489,0.4243,0.15633,0.058165,0.14644,0.091906,0.11539,0.045683,0.22636,0.056017,1.3205811212102592
0.0003546,7.0727e-08,804.91,476.95,182.55,805.88,86.801,4.0865,0.42538,0.15697,0.058465,0.14707,0.092346,0.11568,0.047043,0.22608,0.053573,1.3225964246001136
