Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
176.53,494.1,61.555,11.889,0.12475,0.026806,0.26863,0.21444,0.13208,0.098333,0.092949,0.1199,0.027371,1.1052553497052602
175.91,494.2,61.563,11.914,0.12475,0.026863,0.26864,0.21998,0.13212,0.098376,0.09317,0.11991,0.027384,1.1111952695903997
172.81,484.67,62.214,11.499,0.1249,0.026763,0.26839,0.23175,0.13232,0.09861,0.093923,0.11984,0.027345,1.1238407160150656
174.73,492.81,61.684,11.945,0.12474,0.026995,0.26863,0.23444,0.13215,0.098424,0.093233,0.11989,0.027422,1.1259237715547512
175.79,491.85,61.854,12.102,0.12454,0.027185,0.26867,0.23785,0.13189,0.09822,0.091518,0.11983,0.027497,1.127205976523621
172.02,475.61,61.946,12.128,0.12423,0.027756,0.26858,0.24961,0.13161,0.098164,0.089299,0.11963,0.027655,1.1365251492494781
177.01,479.99,61.282,12.925,0.12357,0.028312,0.26884,0.25652,0.13067,0.097583,0.085317,0.11945,0.027849,1.1381015939617993
176.43,495.06,61.356,14.094,0.12322,0.029415,0.26921,0.26301,0.13035,0.097689,0.083944,0.11935,0.028113,1.1442981688992753
178.81,492.8,61.536,11.231,0.12516,0.025904,0.26831,0.25875,0.13228,0.098533,0.094533,0.11996,0.027108,1.1505344060407985
177.79,566.85,62.388,11.394,0.12649,0.025236,0.26858,0.24497,0.13431,0.10016,0.10695,0.12055,0.026849,1.1541024292247055
