Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1317.8,0.33813,182.13,1.4532,0.044529,0.04452887729594234
1317.8,0.33813,182.13,1.4532,0.044529,0.04452887731932348
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877319775194
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877320530874
1317.8,0.33813,182.13,1.4532,0.044529,0.0445288773219008
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877322327444
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877324630914
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877325692696
1317.8,0.33813,182.13,1.4532,0.044529,0.04452887732587056
1317.8,0.33813,182.13,1.4532,0.044529,0.044528877325988814
