Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
455.78,13.932,91.906,1.9741,0.04349,0.10303,0.099406,0.14575,0.22907,0.11255,0.26332,0.11534,0.12187,1.2338350011389845
455.66,13.933,91.8,1.9723,0.043489,0.10301,0.099488,0.14577,0.22908,0.11261,0.26343,0.11535,0.12189,1.2341280882927999
455.45,14.089,91.805,1.9724,0.043492,0.10295,0.099487,0.14576,0.22908,0.1126,0.26367,0.11535,0.12189,1.2342736914332324
455.42,14.053,91.827,1.9715,0.043493,0.10298,0.099527,0.14578,0.22909,0.11263,0.26426,0.11536,0.1219,1.2350066008474907
455.98,14.089,91.819,1.9703,0.04349,0.10297,0.099582,0.14579,0.2291,0.11267,0.26427,0.11536,0.12192,1.2351607486191443
459.56,13.917,91.8,1.9722,0.043467,0.10302,0.099508,0.14578,0.22909,0.11266,0.26515,0.11534,0.12195,1.2359662983204456
459.49,12.683,91.799,1.9741,0.043449,0.10353,0.099389,0.14582,0.2291,0.11261,0.26481,0.11534,0.12193,1.235967318704475
455.97,12.929,91.86,1.9743,0.043474,0.10343,0.099375,0.1458,0.22909,0.11256,0.26578,0.11535,0.12187,1.2367321807426477
455.79,13.641,90.973,1.9931,0.043471,0.1027,0.09854,0.14545,0.2289,0.11196,0.26915,0.11515,0.12175,1.2370618934813409
452.14,13.514,91.839,1.9773,0.043504,0.10314,0.099235,0.14571,0.22904,0.11241,0.26707,0.11533,0.12179,1.2372425304446713
