Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
131.97,4.2049,607.81,497.59,375.81,860.09,64.12,10.035,0.61566,0.14677,0.064119,0.14117,0.1118,0.24259,0.050843,0.22659,0.03724,1.6367835231307437
61.429,20.147,465.69,0.65091,11.806,856.49,39.505,9.6628,0.69129,0.13039,0.046528,0.10373,0.14432,0.12277,0.076351,0.22529,0.099078,1.639745299480485
70.45,5.5903,604.73,538.51,375.9,854.95,64.235,10.093,0.57468,0.14802,0.064606,0.14239,0.11135,0.29951,0.05288,0.2264,0.036189,1.6560079567496382
69.104,5.7611,608.41,538.63,375.87,856.45,64.155,10.084,0.57174,0.14803,0.064537,0.14238,0.11134,0.30339,0.052856,0.22634,0.036245,1.6568692967588963
69.11,6.0028,594.2,520.62,385.25,856.05,64.117,10.038,0.58572,0.14803,0.064994,0.14272,0.11131,0.30371,0.053442,0.22646,0.035691,1.672063965317147
70.772,5.7915,610.13,540.88,417.27,857.51,64.113,10.086,0.61391,0.14774,0.064403,0.1434,0.11132,0.27677,0.053416,0.22658,0.035593,1.6731357713124373
21.52,2.3124,568.91,423.9,396.15,851.76,73.54,7.7592,0.77427,0.14377,0.063705,0.13586,0.1098,0.13125,0.047213,0.22721,0.040233,1.6733098618666888
70.693,5.9667,610.04,538.18,381.7,838.6,63.662,10.08,0.59183,0.14805,0.064472,0.14266,0.11123,0.30618,0.052932,0.22637,0.036077,1.6797986789504191
66.435,5.7587,607.77,533.54,382.11,856.58,66.149,10.124,0.60459,0.14779,0.064879,0.14232,0.11134,0.29844,0.052919,0.22649,0.035873,1.684649053163114
64.276,2.3129,568.93,423.1,389.21,851.43,72.698,9.1781,0.72992,0.14492,0.066214,0.13836,0.11115,0.1819,0.050123,0.22778,0.036722,1.6870852266368854
