Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
402.05,0.16805,52.957,4.2808,0.75802,0.083293,0.074397,0.074703,0.1407,0.053295,1.1844005676631502
404.75,0.16792,51.975,4.2817,0.76769,0.083056,0.074825,0.07477,0.14103,0.053354,1.1947293370163732
403.14,0.16553,50.902,4.2039,0.76792,0.083295,0.074797,0.074935,0.14203,0.053421,1.1964001140260216
406.54,0.16603,51.078,4.2135,0.76817,0.083192,0.074947,0.074895,0.14216,0.053461,1.1968312210182415
406.54,0.16629,50.827,4.2133,0.76832,0.083149,0.075023,0.074921,0.14219,0.053466,1.1970683044925476
402.48,0.17998,49.614,4.2386,0.77319,0.082936,0.07517,0.075102,0.14144,0.053373,1.2012195266720422
402.94,0.16549,49.19,4.2026,0.77904,0.082994,0.075343,0.075103,0.14225,0.053458,1.208192764572531
402.32,0.16553,49.015,4.1893,0.78715,0.083055,0.075306,0.075132,0.14239,0.053464,1.2164966198625724
399.43,0.16596,49.654,4.2065,0.799,0.083146,0.075027,0.075077,0.14184,0.053388,1.2274841067848974
406.53,0.15656,47.592,4.2297,0.80046,0.082454,0.076259,0.075173,0.14262,0.053548,1.2305097888051415
