Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1138.7,0.19701,127.78,19.785,0.062153,0.12854,0.055789,0.19825,0.085267,0.06992,0.5999151092507011
1154.6,0.19539,127.04,19.767,0.062115,0.12884,0.055796,0.1996,0.085119,0.070104,0.6015730233148808
1157.8,0.19449,127.04,19.992,0.062096,0.12854,0.055796,0.2011,0.085415,0.069791,0.602738485932152
1146.0,0.19519,127.55,19.971,0.062133,0.12835,0.055789,0.20648,0.085479,0.069704,0.6079325925420084
1139.9,0.19547,127.13,19.75,0.062167,0.12866,0.055786,0.20891,0.085175,0.070029,0.6107279073537684
1126.1,0.19513,128.01,19.607,0.062227,0.12852,0.05577,0.21023,0.085135,0.070038,0.611925920285826
1141.8,0.19038,127.71,19.308,0.06224,0.12906,0.055756,0.21029,0.084693,0.070517,0.6125581461370693
1144.2,0.18833,128.64,19.312,0.062254,0.12888,0.055747,0.21063,0.084766,0.070415,0.6126987065024224
1153.9,0.19539,126.71,19.534,0.062135,0.12921,0.055792,0.21137,0.084796,0.070453,0.6137607756000618
1164.1,0.19802,124.18,19.628,0.062074,0.12969,0.055817,0.21179,0.08466,0.07067,0.6147029049076581
