Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1931.2,0.12478,125.32,6.6591,0.068325,0.05458,0.092813,0.062356,0.25617,0.12964,0.6638812292909934
1946.3,0.12454,124.84,6.6746,0.068231,0.05463,0.092862,0.062357,0.25723,0.1298,0.6651089780019687
1912.0,0.12457,124.83,6.6469,0.068406,0.054522,0.092677,0.062435,0.25814,0.12953,0.6657070723672965
1944.3,0.12454,124.81,6.718,0.068202,0.054634,0.092694,0.062488,0.25799,0.12975,0.6657517976251346
1944.0,0.12447,124.81,6.7144,0.068208,0.054633,0.092705,0.062478,0.25809,0.12974,0.6658576634512974
1946.4,0.12451,124.81,6.7144,0.068197,0.05464,0.092724,0.062467,0.25814,0.12976,0.665933766598376
1948.1,0.12451,124.85,6.709,0.068195,0.054644,0.09276,0.062441,0.25812,0.12978,0.6659380966396748
1947.0,0.12444,124.79,6.7146,0.068195,0.054642,0.09273,0.062464,0.25849,0.12977,0.666289101801416
1943.5,0.12495,125.6,6.5483,0.068369,0.054592,0.093359,0.061937,0.25842,0.12983,0.6665079235085168
1958.5,0.12453,124.68,6.657,0.068188,0.054662,0.093021,0.062258,0.25851,0.12993,0.6665725456409572
