Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1735.9,0.25362,191.62,1.5124,0.18837,0.1228,0.53192,0.17267,0.2571,0.18699,0.20154,0.098991,0.12584,1.8862313405853084
1737.0,0.26302,189.8,1.5252,0.18808,0.12259,0.53414,0.1723,0.25706,0.18674,0.20155,0.098323,0.12576,1.8865423897819784
1725.2,0.25414,191.9,1.5137,0.18834,0.12278,0.53479,0.17264,0.25711,0.18696,0.20155,0.098886,0.12583,1.8888831997461384
1734.9,0.26488,189.2,1.5061,0.18853,0.12287,0.53743,0.17275,0.25703,0.18715,0.20148,0.099179,0.12589,1.8923055656082512
1693.1,0.26616,191.94,1.5068,0.18848,0.12286,0.54374,0.17274,0.25705,0.1871,0.20149,0.099005,0.12587,1.8983538629722265
1692.9,0.27055,191.99,1.5067,0.18848,0.12286,0.54959,0.17271,0.25703,0.18712,0.20148,0.098972,0.12588,1.9041240286817047
1691.6,0.2673,192.06,1.5031,0.18858,0.12292,0.5515,0.17282,0.25704,0.18719,0.20147,0.099165,0.1259,1.9066029780149298
1764.3,0.24413,189.66,1.5199,0.18821,0.1227,0.55667,0.17254,0.25715,0.18681,0.20159,0.098801,0.12578,1.910250074470671
1689.5,0.27899,188.05,1.5436,0.1876,0.12234,0.56836,0.17179,0.25716,0.18633,0.20136,0.10066,0.1256,1.9211974840207826
1696.7,0.27164,192.03,1.4933,0.18883,0.12311,0.57515,0.17305,0.257,0.18745,0.20141,0.099542,0.126,1.93153295752768
