Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1947.6,0.12511,123.67,7.7681,0.063987,0.12904,0.054856,0.17247,0.067156,0.090685,0.5781926274919541
1948.1,0.12477,123.67,7.8322,0.064052,0.12892,0.05486,0.17284,0.067116,0.090566,0.5783554072905847
1906.2,0.12727,124.22,7.8744,0.064009,0.12884,0.054903,0.1734,0.067082,0.090585,0.5788189344893541
1933.2,0.12639,123.66,7.7573,0.063971,0.12909,0.05487,0.17327,0.067155,0.09072,0.5790776308496385
1942.6,0.12552,123.35,7.7417,0.063977,0.1291,0.054851,0.17335,0.067179,0.090721,0.5791785756788387
1933.0,0.1262,124.22,7.6655,0.063821,0.12919,0.054867,0.17334,0.067222,0.090941,0.5793882962327276
1946.4,0.12467,124.1,7.6854,0.063847,0.12911,0.054847,0.17423,0.067226,0.090884,0.5801467371760688
1938.3,0.12498,123.64,7.7623,0.063952,0.129,0.054851,0.17524,0.067179,0.090717,0.5809383614252843
1947.2,0.12453,123.89,7.6949,0.06387,0.1291,0.054843,0.17578,0.067224,0.090851,0.5816701015373368
1946.8,0.12417,123.71,7.7858,0.063976,0.12894,0.054845,0.17618,0.067168,0.090667,0.5817798117890026
