Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
755.72,0.373,113.99,10.175,0.12527,0.065114,0.08915,0.16347,0.05455,0.06665,0.5642000118234806
756.16,0.37389,114.54,10.135,0.12539,0.065129,0.089151,0.1677,0.054588,0.066614,0.568564226429891
761.03,0.37317,113.98,9.9368,0.12576,0.065175,0.089171,0.17016,0.054612,0.066597,0.5714852223284531
757.26,0.37204,114.35,10.347,0.12492,0.065077,0.089138,0.17236,0.054524,0.06667,0.5726974575687406
777.57,0.36807,113.88,9.9082,0.12579,0.065196,0.089183,0.17145,0.054616,0.066578,0.5728076002897522
765.59,0.37199,114.51,9.8525,0.12596,0.065195,0.089189,0.17188,0.054658,0.066562,0.5734436290127899
743.47,0.37488,114.46,10.209,0.12521,0.065074,0.089163,0.17285,0.054558,0.066671,0.5735234574467015
798.95,0.35694,111.87,9.9739,0.12543,0.065171,0.089206,0.17398,0.0545,0.066672,0.5749671773430199
765.79,0.36982,114.45,9.7141,0.12621,0.065204,0.089224,0.17573,0.05468,0.06657,0.5776142369096443
782.12,0.36021,116.29,10.01,0.12562,0.065149,0.089227,0.18104,0.054705,0.066544,0.5822860230993077
