Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1183.1,0.21172,124.69,5.8251,0.043589,0.096236,0.1134,0.13785,0.10006,0.13448,0.31094,0.25418,0.030881,1.2216252921895432
1155.3,0.23206,125.44,4.6368,0.058866,0.10881,0.11327,0.13905,0.10573,0.13938,0.2828,0.25038,0.034326,1.2325983202504127
1155.2,0.23192,125.45,4.6309,0.058964,0.10878,0.11326,0.13907,0.10578,0.13943,0.28284,0.25034,0.034361,1.2328189500582554
1157.7,0.23086,125.01,4.6742,0.058283,0.10905,0.11328,0.13893,0.10544,0.13913,0.28458,0.25056,0.034126,1.233372872626039
1153.4,0.23225,125.44,4.6504,0.058624,0.1089,0.11328,0.139,0.1056,0.13928,0.28435,0.25046,0.034249,1.2337424222596838
1153.6,0.23206,125.44,4.6368,0.058853,0.10882,0.11327,0.13905,0.10572,0.13938,0.28399,0.25038,0.034326,1.2337879415855606
1155.2,0.23231,125.45,4.6254,0.059053,0.10873,0.11326,0.13909,0.10582,0.13946,0.28374,0.25032,0.03438,1.2338493156503827
1164.6,0.23095,124.6,4.6823,0.058208,0.10904,0.11327,0.1389,0.10537,0.13908,0.28602,0.2506,0.034048,1.2345289536543644
1155.4,0.23303,125.2,4.6174,0.059184,0.10866,0.11325,0.1391,0.10586,0.13951,0.28482,0.25029,0.034383,1.2350664930976467
1153.9,0.23228,125.11,4.6247,0.059055,0.10874,0.11326,0.13909,0.10581,0.13946,0.28586,0.25032,0.034357,1.2359561051358536
