Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
1659.8,1.2869,218.51,2.1112,0.28236,0.13021,0.12069,0.10081,1.0253,0.094117,0.089911,0.22719,0.080022,2.1506496346932384
1633.5,1.3256,218.49,2.166,0.28276,0.13005,0.12087,0.1009,1.0247,0.094251,0.090051,0.22725,0.07991,2.1507690026391706
1631.0,1.3022,220.66,2.1643,0.28189,0.13043,0.12065,0.10058,1.0288,0.09384,0.089943,0.22698,0.080061,2.1531531642409574
1651.0,1.3152,225.4,2.1308,0.28047,0.13059,0.12047,0.099768,1.0331,0.093387,0.089731,0.2265,0.079827,2.1538688441731737
1644.2,1.3109,215.51,2.1715,0.28327,0.13006,0.12091,0.10123,1.0309,0.094366,0.090093,0.22744,0.0801,2.1583782053249596
1632.3,1.3307,221.85,2.1967,0.28143,0.1305,0.12067,0.10027,1.0354,0.093615,0.089932,0.22677,0.079983,2.158614890255917
1667.5,1.3253,225.99,2.1582,0.27968,0.13087,0.12039,0.099381,1.0405,0.092963,0.089651,0.2262,0.079912,2.159528964722607
1636.7,1.2927,223.59,2.1072,0.2814,0.13037,0.12053,0.1003,1.0392,0.093819,0.089823,0.22687,0.079869,2.1622011353977255
1570.1,1.3244,222.04,2.1477,0.28333,0.12974,0.1209,0.10116,1.0376,0.094711,0.090169,0.22748,0.079633,2.16469518440816
1634.9,1.3386,223.16,2.2008,0.28098,0.13058,0.12063,0.10002,1.0457,0.09344,0.089885,0.22661,0.079937,2.1678049193822484
