Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1986.8,0.12305,125.78,8.4697,0.064885,0.12832,0.055124,0.13046,0.066417,0.089662,0.5348749649419029
1987.4,0.12317,126.12,8.3301,0.064697,0.12851,0.055122,0.13438,0.066494,0.089899,0.5391041331370859
1986.9,0.12475,123.66,8.5295,0.065139,0.12845,0.055113,0.13652,0.066342,0.08944,0.5410037949547238
1986.8,0.12483,124.79,7.5936,0.063685,0.12947,0.054998,0.13765,0.067032,0.091214,0.5440493792724325
1986.9,0.12483,124.79,7.6078,0.063711,0.12946,0.055001,0.13774,0.067021,0.091183,0.5441134992216023
1987.2,0.12468,124.88,7.6336,0.063751,0.12943,0.055007,0.13795,0.067001,0.091133,0.5442710818711725
1988.4,0.12509,124.62,7.5446,0.063613,0.12955,0.054988,0.13779,0.067066,0.091307,0.5443100509411969
1983.7,0.12481,125.1,7.6572,0.06378,0.12938,0.055015,0.13825,0.066984,0.091091,0.544505655460176
1983.6,0.12484,124.89,7.5963,0.063681,0.12945,0.055,0.13818,0.067034,0.091217,0.544565300300062
1994.7,0.12414,124.75,7.6515,0.063787,0.12942,0.055007,0.13835,0.066986,0.09109,0.5446321733423111
