Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
428.11,0.90429,107.27,3.1508,0.063225,0.14318,0.057567,0.12969,0.42604,0.074498,0.8941956716273126
438.64,0.91257,99.914,3.2056,0.062593,0.14297,0.056875,0.12822,0.44956,0.074005,0.9142223865700408
433.13,0.91387,99.919,3.2021,0.062613,0.14295,0.056922,0.12834,0.45389,0.074058,0.9187638758308728
427.92,0.95876,100.17,3.3217,0.06139,0.14183,0.055959,0.12548,0.46518,0.07326,0.9230963801960987
438.26,0.91429,98.86,3.2038,0.062604,0.143,0.056871,0.12825,0.46038,0.074006,0.9251062744033184
435.89,0.92519,98.217,3.3962,0.060666,0.14127,0.05544,0.12378,0.47192,0.072808,0.92589317507741
780.64,0.39181,92.508,3.3589,0.060204,0.14206,0.054728,0.12343,0.47335,0.072975,0.9267416254198643
437.63,0.90801,98.577,3.242,0.062168,0.14265,0.056535,0.12733,0.46601,0.073752,0.9284438859005409
437.28,0.91329,104.55,3.315,0.061488,0.14183,0.056084,0.12571,0.47383,0.07335,0.9322947321582715
436.56,0.91329,103.04,3.4559,0.060203,0.14067,0.055222,0.12265,0.48146,0.072607,0.9328142067557172
