Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
313.57,741.89,79.694,3.2052,0.093538,0.13879,0.043506,0.11385,0.21972,0.11875,0.075489,0.41783,0.095809,1.3172962013322744
313.8,741.75,79.679,3.2056,0.093526,0.13879,0.043504,0.11385,0.21972,0.11876,0.075468,0.41793,0.095813,1.3173619322680459
313.52,742.88,79.842,3.1528,0.094303,0.13888,0.043504,0.11409,0.21994,0.11856,0.076679,0.42094,0.095916,1.3228129185798623
307.47,756.08,80.528,3.2552,0.093139,0.13877,0.043568,0.11365,0.21945,0.11891,0.074831,0.42611,0.095579,1.324017029382865
307.4,752.89,80.522,3.2555,0.093098,0.13877,0.043566,0.11365,0.21945,0.11891,0.07478,0.42658,0.095596,1.3244006152649996
311.52,748.55,79.834,3.2609,0.092868,0.13872,0.043529,0.11363,0.21948,0.11897,0.074402,0.4277,0.095665,1.3249557269579915
310.22,743.89,79.66,3.291,0.092408,0.13866,0.04353,0.11351,0.21937,0.1191,0.073688,0.42919,0.095663,1.3251179040236283
306.61,756.29,80.598,3.2585,0.093114,0.13877,0.043574,0.11364,0.21943,0.11892,0.074794,0.42735,0.095567,1.3251585968638926
307.69,758.95,79.781,3.3085,0.092439,0.13868,0.043568,0.11345,0.21927,0.11918,0.073637,0.42944,0.095566,1.3252328653305514
306.63,755.97,80.599,3.2599,0.093091,0.13877,0.043573,0.11363,0.21943,0.11893,0.074757,0.42765,0.095567,1.3253920536981052
