Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1449.3,0.17845,124.56,5.1596,0.10943,0.049338,0.10032,0.28841,0.13676,0.031555,0.25383,0.11419,0.13538,1.2192064989659408
1449.9,0.17893,124.64,5.1377,0.10953,0.049795,0.1005,0.28874,0.13686,0.031637,0.25371,0.11416,0.13552,1.2204441957787162
1449.8,0.17891,124.64,5.1332,0.10954,0.049885,0.10053,0.28863,0.13688,0.031651,0.25369,0.11416,0.13555,1.220516432263469
1446.6,0.17825,125.04,5.1437,0.1094,0.04953,0.10048,0.29017,0.13684,0.031651,0.25373,0.11416,0.1355,1.2214572524524168
1447.0,0.1806,123.59,5.1429,0.1096,0.049878,0.10039,0.2899,0.13682,0.031535,0.25377,0.11418,0.13548,1.2215522927814986
1457.8,0.17939,123.82,5.178,0.10956,0.04926,0.10013,0.29123,0.13663,0.031431,0.25394,0.11421,0.13524,1.2216235051992468
1450.3,0.18037,123.84,5.1666,0.10951,0.049402,0.10023,0.29108,0.13669,0.031473,0.25387,0.1142,0.13532,1.2217823911316028
1455.3,0.17953,123.75,5.1419,0.10971,0.049939,0.1004,0.29009,0.13682,0.031543,0.25376,0.11418,0.13546,1.2219051393719407
1455.2,0.17957,123.76,5.131,0.10975,0.050159,0.10048,0.29032,0.13687,0.031579,0.25371,0.11417,0.13553,1.2225727239278072
1460.3,0.17802,124.58,5.1479,0.10965,0.049709,0.10041,0.29107,0.13679,0.031592,0.25377,0.11417,0.13543,1.222582123254992
