Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
25.317,6.852,389.78,19.979,0.13215,0.075085,2.5246,0.12159,0.060493,0.069447,2.9833213289387497
25.584,7.0379,388.93,19.881,0.13214,0.075002,2.5239,0.1236,0.060752,0.070627,2.9860028612393643
25.314,7.1518,390.1,19.884,0.13247,0.075196,2.5209,0.12515,0.060939,0.071659,2.986333775185959
25.329,7.1685,391.17,19.965,0.13252,0.075241,2.5206,0.12556,0.060932,0.071947,2.9867943625817714
25.035,7.1728,392.29,19.747,0.13277,0.07535,2.5229,0.12539,0.061037,0.071836,2.9892502069784674
25.391,7.195,392.04,19.896,0.13254,0.075232,2.5255,0.12579,0.060973,0.072075,2.9920899067694764
25.384,7.1631,392.83,19.791,0.13256,0.075214,2.5285,0.12527,0.060955,0.071722,2.99420183120333
23.724,7.2026,396.25,19.939,0.13377,0.076084,2.5245,0.12676,0.06124,0.072993,2.9953017107484783
24.309,7.1553,390.22,19.681,0.13315,0.075605,2.5288,0.12518,0.061157,0.071775,2.9956617469820435
24.262,7.1576,391.02,19.645,0.13322,0.075639,2.5293,0.12521,0.061173,0.071799,2.9963676264107697
