iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,777.38,27.64,15.082,1.4116,0.39717598337919985,0.14298793840736423,0.4426904577793028
2,179.62,514.0,54.752,1.3876,0.33319860003670426,0.14646604687520226,0.37982019074733964
3,282.67,533.47,74.562,2.0002,0.09290110995977907,0.1322688323024994,0.13500358691565056
4,113.68,624.11,38.565,19.972,0.31819053196253627,0.1056795248652778,0.35182936949435994
5,163.31,575.2,61.71,12.043,0.04463903867900458,0.10229441073383749,0.07720036091693033
6,76.454,190.93,63.836,14.728,0.30199371812918885,0.18685183421760973,0.3614705042122287
7,178.21,592.44,62.189,10.784,0.011193110104343507,0.10191744598403607,0.043634440735664665
8,169.9,580.96,63.889,11.97,0.018726981607644338,0.102045732804589,0.051209147202214575
9,176.53,494.1,61.555,11.889,0.03785754110595345,0.10139538710064652,0.07013269523352164
10,181.11,587.69,62.764,10.85,0.010938279753780053,0.1016698247053203,0.04330079008405651
11,178.99,529.16,63.706,11.074,0.01419958041696294,0.10165655461208152,0.04655786674537091
12,189.2,492.44,62.525,11.29,0.015349477652880835,0.17066004357108927,0.06967225669811503
13,182.86,653.35,62.03,10.798,0.019925882393333778,0.10203068991102052,0.052403259686164355
14,182.62,541.97,64.103,9.7683,0.011905960364299348,0.10276573825917665,0.04461731081317109
15,182.48,537.94,63.547,11.186,0.011709394909690939,0.10158737614852992,0.04404566104923943
