Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
1.1596,413.05,3.4447,791.92,1.7255,555.6,78.039,10.687,0.090112,0.49915,0.10993,0.16322,0.19626,0.072357,0.060382,0.10722,0.14211,1.4407327481411332
1.0482,390.24,7.0229,747.09,0.67429,554.71,68.358,9.9141,0.081954,0.55037,0.10949,0.16424,0.197,0.076198,0.065781,0.10179,0.14953,1.4963591733140142
0.37915,408.37,16.196,744.12,16.071,562.47,70.974,11.019,0.07269,0.59823,0.1103,0.16169,0.20069,0.073854,0.064636,0.10346,0.13611,1.5216655960128973
0.36156,404.99,16.049,743.51,6.9433,554.43,66.888,11.157,0.071415,0.60567,0.11241,0.16299,0.1999,0.07591,0.067039,0.10144,0.14044,1.5372120421689437
23.903,332.89,97.481,734.82,458.19,469.76,78.803,10.738,0.059148,0.7035,0.1407,0.1382,0.21028,0.054249,0.039208,0.1077,0.12267,1.5756509975243698
0.6455,416.42,5.4738,748.35,14.297,577.01,77.438,9.922,0.088424,0.67389,0.10882,0.16165,0.19917,0.068641,0.056952,0.10971,0.13329,1.6005368617113436
611.43,349.98,36.229,794.01,479.34,300.82,79.194,9.9525,0.069297,0.77126,0.11535,0.12734,0.21058,0.05036,0.029731,0.10926,0.12693,1.6101099434246096
0.25035,414.83,227.89,789.94,269.2,534.53,68.85,9.9331,0.04633,0.6219,0.2545,0.14451,0.21236,0.055839,0.050329,0.10271,0.1316,1.620089805798383
474.58,353.67,37.146,794.34,466.97,303.43,78.887,10.719,0.067629,0.78186,0.12482,0.12715,0.2102,0.051542,0.028973,0.1094,0.12587,1.6274425849073562
0.24157,348.48,39.005,787.15,16.742,568.32,67.966,9.9262,0.063872,0.73867,0.12188,0.15843,0.20362,0.073357,0.066267,0.10113,0.13798,1.6652064748991773
