Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
310.38,233.37,75.435,10.776,0.049229,0.14114,0.11106,0.10753,0.3205,0.04078,0.13467,0.029049,0.22231,1.1562660097416082
308.01,236.15,75.516,11.139,0.049338,0.1415,0.1112,0.10752,0.32208,0.040173,0.13484,0.028979,0.22258,1.158217830820652
315.0,231.63,74.242,10.656,0.049006,0.14125,0.11101,0.10752,0.32376,0.041009,0.13461,0.029088,0.22223,1.159472266953544
313.09,228.42,75.675,11.068,0.04921,0.14156,0.11116,0.10745,0.32444,0.040164,0.13468,0.02912,0.22252,1.1603129707171582
317.23,216.96,74.391,10.978,0.049091,0.14184,0.11108,0.10749,0.3294,0.040251,0.13453,0.029382,0.22246,1.165535604897946
317.41,216.75,74.161,10.682,0.04908,0.14146,0.11101,0.10751,0.33622,0.040804,0.13434,0.029388,0.22228,1.1720772298790172
310.88,243.7,76.023,11.138,0.049278,0.14148,0.11119,0.10754,0.3445,0.040286,0.13489,0.028864,0.22253,1.1805551207180929
312.95,248.51,74.901,10.338,0.049208,0.14053,0.11089,0.10727,0.3465,0.042048,0.13463,0.028827,0.22185,1.1817579319604252
317.2,214.66,73.772,11.048,0.049076,0.14204,0.11108,0.10751,0.34859,0.040108,0.13456,0.029437,0.22252,1.1849106930767221
317.8,234.43,74.912,10.973,0.048924,0.14166,0.1111,0.10751,0.35141,0.040457,0.13476,0.02904,0.22242,1.1872795079366303
