Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
181.11,587.69,62.764,10.85,0.12692,0.024352,0.26802,0.3005,0.13468,0.10088,0.11371,0.12032,0.026541,1.2159444889469284
181.08,588.03,62.747,10.85,0.12693,0.024356,0.26803,0.30054,0.13469,0.10089,0.11366,0.12033,0.026539,1.2159668154394325
181.14,587.95,62.795,10.847,0.12692,0.024353,0.26802,0.30061,0.13468,0.10089,0.11365,0.12033,0.026541,1.2159950036864857
181.14,590.14,62.662,10.857,0.12697,0.024374,0.26805,0.30068,0.13472,0.10092,0.11339,0.12036,0.026534,1.2160008566473917
181.28,588.11,62.766,10.855,0.12692,0.024347,0.26803,0.30059,0.13468,0.10087,0.11371,0.12032,0.026545,1.2160200964142085
181.24,586.95,62.69,10.764,0.12698,0.024289,0.26795,0.30098,0.13469,0.10098,0.11383,0.12031,0.02649,1.2165052993107324
187.73,553.04,62.842,10.584,0.12635,0.023489,0.26743,0.30179,0.13376,0.10015,0.11748,0.11962,0.026615,1.2166781955932173
181.11,587.99,62.658,10.868,0.12693,0.024358,0.26805,0.30117,0.13469,0.10087,0.1138,0.12033,0.026544,1.2167435883172641
187.15,558.84,62.683,10.99,0.12617,0.023742,0.26781,0.30195,0.1338,0.099829,0.11687,0.11972,0.026872,1.2167571913097124
181.04,589.65,62.68,10.956,0.12691,0.024408,0.26812,0.30119,0.1347,0.10081,0.1138,0.12036,0.026591,1.2169018295133602
