iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,220.26,28.858,64.17,15.819,4.7048e-05,0.0751543541820029,0.07313767793934596,0.09843480012262286
2,178.03,3.1378,42.906,15.998,3.3181e-05,0.32016847297062506,0.07374851974976114,0.34364335589839456
3,273.82,49.674,61.143,15.999,5.5658e-05,0.02421186298541488,0.07355603359876248,0.04762547566836804
4,255.23,50.664,65.103,15.723,5.6349e-05,0.011949093674797571,0.07334358336761646,0.03529508134885493
5,710.4,0.30458,62.623,15.629,5.6546e-05,0.7853917660566783,0.07408860147271965,0.8089749003589759
6,239.07,188.11,64.257,15.959,5.7228e-05,0.012150990814009055,0.07348290191715738,0.03554132495971407
7,266.51,41.836,65.527,15.961,5.7624e-05,0.019604996835698454,0.0734035267086307,0.042970065067811536
8,256.1,51.331,65.372,15.998,5.6031e-05,0.011757806156848351,0.07335977844309663,0.03510894888353854
