Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1714.9,0.14062,126.0,6.6577,0.067939,0.054904,0.093024,0.06214,0.139,0.13026,0.5472679372326943
1745.6,0.13752,126.33,6.6925,0.067933,0.054904,0.092961,0.062177,0.14357,0.13018,0.5517178472390935
1716.2,0.14005,126.25,6.4627,0.068197,0.054751,0.093742,0.061551,0.1436,0.1303,0.5521330114138163
1716.3,0.14017,126.27,6.4518,0.06821,0.054743,0.09378,0.061522,0.14444,0.1303,0.5529980390836133
1718.7,0.13999,126.26,6.4495,0.068214,0.05474,0.093789,0.061514,0.14467,0.1303,0.5532259920674045
1728.1,0.14062,124.67,6.6995,0.067842,0.05493,0.092746,0.06239,0.14523,0.13041,0.5535490520805955
1710.6,0.13998,126.16,6.5687,0.068066,0.054839,0.09337,0.06185,0.14609,0.13024,0.5544639036413548
1742.3,0.13862,125.38,6.4203,0.068229,0.054704,0.093824,0.061495,0.14624,0.13041,0.5549095115405235
1740.3,0.13861,125.38,6.4201,0.068231,0.054706,0.093828,0.061492,0.14629,0.13041,0.5549533712886472
1704.8,0.14129,125.24,6.4512,0.068171,0.054756,0.093689,0.061608,0.14637,0.13041,0.5550094742967027
