param_type,param_name,out_u_bound,base,out_l_bound,in_u_bound,in_l_bound
input,cp_tau_s,1,10,0,3.2902127469195284,0.19270680661285863
input,cp_b,1,10,0,1.2956770340174648,-3.597618235760902
input,cp_tau_0,1,10,0,2.6912848818232695,1.8032112189832223
input,cp_n,1,10,0,1.2636834005571924,0.0013875234866412602
input,average_strain,1,10,0,-0.5434517836276072,-2.143893702145798
output,average_stress,1,10,0,3.725985096952106,2.3605366145832942
output,g59_phi_1,1,10,0,0.28377597871152294,0.21953213530015495
output,g59_Phi,1,10,0,0.3613500243522663,0.3365998062515832
output,g59_phi_2,1,10,0,0.6483502514447138,0.6327406553278637
output,g63_phi_1,1,10,0,0.34419571587143494,0.269956351932952
output,g63_Phi,1,10,0,0.4866712931924322,0.43760788791493693
output,g63_phi_2,1,10,0,0.6153923666841113,0.5750376639569877
output,g86_phi_1,1,10,0,0.32586443661534614,0.31251585566338685
output,g86_Phi,1,10,0,0.2865687340572638,0.25503116334555137
output,g86_phi_2,1,10,0,0.5728948258833766,0.558180377720982
output,g237_phi_1,1,10,0,0.33639968898608347,0.33158924095513675
output,g237_Phi,1,10,0,0.3610097126081429,0.3339910615695066
output,g237_phi_2,1,10,0,0.6215916758592177,0.6067896679268028
output,g303_phi_1,1,10,0,0.41617434745708776,0.39903305410689777
output,g303_Phi,1,10,0,0.32145343433334456,0.30085624311839365
output,g303_phi_2,1,10,0,0.6659372852220151,0.6451372314876374
