Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
494.02,0.50636,99.313,12.387,4.517e-06,0.065315,0.087827,0.054072,0.12501,0.066857,0.33505,0.7341270641689472
483.9,0.50881,99.741,12.696,4.3006e-06,0.065148,0.087858,0.054129,0.1252,0.066861,0.33638,0.73557924117917
485.29,0.50361,98.041,12.374,4.5856e-06,0.065377,0.087794,0.054045,0.12501,0.066907,0.34629,0.745424108542581
494.45,0.51653,95.567,12.298,4.4084e-06,0.065276,0.087566,0.054068,0.12533,0.067167,0.35266,0.7520709002671441
506.37,0.50504,98.657,12.399,4.6991e-06,0.065348,0.087624,0.054036,0.12498,0.067057,0.3619,0.7609462118209944
495.07,0.50849,99.838,12.387,4.51e-06,0.065284,0.087852,0.054095,0.12503,0.066825,0.36361,0.7626932742745547
421.59,0.58337,101.19,11.133,4.9756e-06,0.065164,0.08875,0.054729,0.12595,0.065811,0.36655,0.7669545276024817
438.92,0.58028,101.16,13.145,4.9191e-06,0.064384,0.087744,0.054822,0.12663,0.067032,0.36644,0.767047962765429
438.54,0.57325,101.77,13.146,4.929e-06,0.064437,0.087815,0.054788,0.12649,0.066955,0.36813,0.7686117661453322
426.83,0.58553,97.2,11.07,4.9764e-06,0.06521,0.088417,0.05466,0.12612,0.066173,0.3697,0.7702787869274434
