Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
690.58,32.573,149.79,1.2553,3.8864e-05,0.24293,0.018726,0.027418,0.045147,0.035093,0.34691,0.11937088139133939
691.0,32.528,150.09,1.2531,3.8673e-05,0.24306,0.018726,0.027421,0.045154,0.035112,0.34693,0.1194001299873378
691.1,33.4,150.54,1.2515,3.9011e-05,0.24413,0.018727,0.027424,0.04516,0.035135,0.34695,0.11958691475648331
685.45,33.071,150.83,1.2505,3.904e-05,0.24475,0.018729,0.027427,0.045166,0.035147,0.34694,0.11969229682755866
691.1,33.4,150.54,1.2566,3.9011e-05,0.24587,0.018726,0.027416,0.045142,0.03508,0.34689,0.1198539664310118
691.11,35.043,149.87,1.2609,3.9013e-05,0.24672,0.018725,0.027408,0.045123,0.035027,0.34686,0.1199764510924662
736.0,33.402,150.55,1.2434,3.9025e-05,0.25075,0.018716,0.027429,0.045177,0.03522,0.34718,0.12074548215532915
735.82,34.098,151.26,1.2497,3.9057e-05,0.25325,0.018716,0.027419,0.045155,0.035157,0.34709,0.1211314555632405
733.74,33.876,150.61,1.2447,3.9324e-05,0.25372,0.018716,0.027428,0.045174,0.035211,0.34717,0.12123659968204781
690.22,33.232,148.92,1.2586,3.9343e-05,0.25644,0.018724,0.027414,0.045136,0.035064,0.34691,0.12161448472112218
