Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1660.7,0.20253,152.94,5.9091,0.17248,0.12954,0.58191,0.27604,0.25884,0.10106,0.11699,0.12099,0.12913,1.8869767313022991
1660.9,0.20252,152.94,5.909,0.17248,0.12954,0.582,0.27605,0.25884,0.10106,0.11699,0.12099,0.12913,1.887078317265756
1662.4,0.20152,152.53,5.8987,0.17246,0.12956,0.58153,0.27709,0.25884,0.10103,0.11699,0.12103,0.12912,1.8876391399762815
1660.7,0.20373,152.06,5.9135,0.17256,0.12946,0.58605,0.27413,0.25876,0.10107,0.11697,0.12095,0.12918,1.8891306094864941
1660.9,0.20372,152.06,5.9135,0.17256,0.12946,0.58613,0.27417,0.25876,0.10107,0.11697,0.12095,0.12918,1.8892494254768843
1660.4,0.20219,152.06,5.9182,0.17252,0.12951,0.58764,0.27364,0.25884,0.10107,0.11698,0.12094,0.12918,1.8903030870991775
1672.6,0.2003,154.52,5.849,0.17231,0.12968,0.56563,0.29778,0.25883,0.10095,0.117,0.12127,0.12895,1.8923906494102414
1661.6,0.20049,155.47,5.7486,0.17215,0.1298,0.54002,0.32417,0.25867,0.10075,0.117,0.12174,0.12868,1.892980007442722
1669.8,0.20122,152.33,5.8394,0.17241,0.12958,0.57562,0.28946,0.25867,0.10093,0.11698,0.12127,0.12901,1.893926099985503
1674.3,0.20092,152.61,5.9261,0.1725,0.12951,0.59408,0.27142,0.25887,0.1011,0.11698,0.12091,0.12918,1.8945568698594997
