Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1965.4,0.26754,197.92,1.4927,0.1891,0.12269,0.31532,0.1714,0.25526,0.1877,0.20113,0.10519,0.12629,1.6740774155008473
1966.2,0.26722,197.92,1.4832,0.18926,0.12288,0.31644,0.17158,0.25524,0.18794,0.20109,0.10558,0.12637,1.6763905651729991
1965.9,0.26971,196.49,1.4924,0.18909,0.12269,0.31868,0.17138,0.25524,0.18771,0.20111,0.1053,0.12629,1.6775024275910697
1999.2,0.25942,197.66,1.4818,0.18931,0.12291,0.32369,0.17163,0.25524,0.18797,0.20107,0.10552,0.12637,1.6837053831159015
2000.0,0.25378,201.3,1.4824,0.18931,0.12293,0.32382,0.17167,0.25529,0.18794,0.20111,0.10542,0.12638,1.6838716348614549
1995.2,0.25452,201.11,1.4899,0.18918,0.12278,0.32752,0.17153,0.25531,0.18774,0.20115,0.10515,0.12631,1.6866803412554139
1997.6,0.2525,201.01,1.4826,0.18931,0.12293,0.32892,0.17167,0.2553,0.18792,0.20112,0.10539,0.12637,1.6889288090129413
1982.2,0.25263,202.72,1.4844,0.18928,0.1229,0.33004,0.17166,0.25534,0.18787,0.20115,0.10522,0.12635,1.6898258683498064
1965.9,0.26885,195.61,1.4923,0.1891,0.12269,0.33198,0.17138,0.25524,0.18771,0.20111,0.10533,0.12628,1.6908254626466146
1981.2,0.25293,203.18,1.4783,0.18938,0.12303,0.33043,0.17178,0.25532,0.18803,0.20113,0.10534,0.12641,1.6908412994677742
