Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
67.658,9.2366,343.61,9.5524,0.13411,0.14154,0.068259,0.23955,1.103,0.099331,1.0167,0.079381,0.14116,3.0230861687138972
0.43496,14.218,82.957,15.553,0.21323,0.17141,0.18751,0.23819,0.85509,0.10292,0.98594,0.1596,0.173,3.0868795927544537
0.48814,6.3983,86.747,9.7966,0.20982,0.17287,0.18065,0.23621,1.3118,0.10516,0.68414,0.1547,0.16987,3.22518034771608
0.15779,6.3467,11.96,14.594,0.21513,0.17335,0.19239,0.23766,1.3046,0.1064,0.68674,0.16143,0.17239,3.2500894744286617
67.919,7.9329,426.33,9.3307,0.1348,0.14032,0.070697,0.24049,1.4077,0.099511,0.98119,0.078088,0.14065,3.2934528842564004
0.15967,5.5108,7.7276,14.387,0.21102,0.17333,0.18685,0.23685,1.2482,0.10668,0.82013,0.1586,0.17091,3.312560670125661
0.33344,6.8456,329.72,11.377,0.22385,0.17289,0.20158,0.23979,1.2562,0.1043,0.79847,0.16553,0.17517,3.337727758103943
0.1107,5.4346,345.09,14.509,0.24012,0.17329,0.22849,0.24426,1.2897,0.10526,0.74163,0.17888,0.18108,3.382700470911257
67.692,8.6012,473.38,9.7213,0.13585,0.14113,0.073116,0.23991,1.3683,0.098882,1.1062,0.079613,0.14151,3.384493574376149
0.16223,5.7966,12.148,14.455,0.21429,0.17303,0.19084,0.23763,1.1135,0.10631,1.028,0.16035,0.17191,3.3958565510134093
