Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
496.4,0.28629,75.98,4.4681,9.1427e-05,0.29402,0.04801,0.027828,0.029745,0.55678,0.020319,0.1627839986779362
120.65,0.48223,27.304,8.2284,4.9596e-08,0.2751,0.040416,0.030702,0.028968,0.67072,0.0192,0.17751816861615977
512.89,447.25,142.55,1.5898,8.2457e-05,0.34316,0.08385,0.042621,0.042746,0.5114,0.052396,0.1793631489194484
512.74,441.75,142.39,1.59,8.2407e-05,0.34317,0.083842,0.042616,0.042742,0.5116,0.052384,0.17939203300217757
511.07,443.65,142.09,1.59,8.2438e-05,0.34319,0.083855,0.042621,0.042752,0.51408,0.052388,0.1798140576342521
516.36,447.04,142.97,1.5984,8.3817e-05,0.34287,0.083726,0.04253,0.042676,0.51748,0.052206,0.1802480287213436
799.01,0.010846,95.197,1.9933,7.7529e-05,0.33126,0.073826,0.035468,0.037724,0.5659,0.038407,0.18043115058029338
137.88,0.0079465,41.8,15.998,8.7457e-09,0.26964,0.036717,0.032161,0.027267,0.69775,0.020376,0.18065244339448053
496.6,406.03,149.06,1.5239,7.9153e-05,0.34499,0.084721,0.043337,0.043211,0.52569,0.053915,0.18264436757858493
498.46,406.52,150.7,1.5299,8.1265e-05,0.34472,0.084657,0.043291,0.043172,0.528,0.05381,0.1829420253880799
