Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
627.84,0.62853,139.4,8.9351,0.15911,0.11942,0.12527,0.056998,0.14015,0.1195,0.47838,0.070501,0.48777,1.7571039952154592
615.28,0.60933,142.04,9.54,0.1588,0.11929,0.12356,0.056147,0.14156,0.12016,0.36592,0.071194,0.60666,1.7632942214391343
615.3,0.60916,142.08,9.5501,0.15878,0.1193,0.12354,0.056135,0.14159,0.12013,0.36711,0.071205,0.60591,1.7636908193461542
615.46,0.60586,141.35,9.6083,0.15864,0.1194,0.12341,0.056052,0.14174,0.11958,0.37055,0.071361,0.60619,1.766922619624348
615.8,0.60617,142.0,9.4952,0.15891,0.11923,0.12364,0.056204,0.14147,0.12047,0.36051,0.071139,0.61719,1.7687764518157074
616.43,0.60849,142.18,9.6201,0.15861,0.11937,0.12339,0.056045,0.14174,0.11972,0.38389,0.071309,0.59957,1.7736475993893421
621.15,0.59805,142.18,9.6169,0.15863,0.11937,0.12338,0.056043,0.14174,0.11977,0.37413,0.071347,0.61056,1.774961716405869
621.15,0.59602,142.21,9.6154,0.15865,0.11935,0.12338,0.056047,0.14174,0.11987,0.37159,0.071347,0.61389,1.7758635238316114
618.33,0.59828,142.13,9.6303,0.15864,0.11935,0.12335,0.056034,0.14178,0.11988,0.37289,0.07137,0.61362,1.7769076304858293
618.74,0.5983,142.11,9.6354,0.15862,0.11936,0.12334,0.056026,0.14179,0.11981,0.37423,0.07138,0.61325,1.77781137472991
