Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g262),Error (g207),Error (g101),Error (curve),Error (g240),Error (g95),Error (g14),Error (g287),Reduced Error
757.06,215.97,512.36,6.7273,31.234,33.72,53.246,18.839,0.11027,0.13465,0.034187,0.044918,0.35158,0.22822,0.14566,0.048129,0.11329,1.2109093163686566
757.06,215.97,512.36,6.7273,31.234,33.72,53.246,18.643,0.11029,0.13467,0.034139,0.044738,0.35869,0.22826,0.14574,0.048178,0.11323,1.2179418291118191
694.63,606.55,544.73,6.9556,44.791,50.316,52.537,14.313,0.10815,0.12999,0.038293,0.049889,0.36754,0.2255,0.14544,0.047283,0.10985,1.2219374084550014
699.82,276.36,769.61,138.4,32.042,261.94,71.78,18.296,0.10598,0.13794,0.037125,0.038567,0.37206,0.22226,0.16351,0.049529,0.1003,1.2272773846284233
699.82,252.89,776.75,138.16,34.706,268.45,71.698,18.428,0.1066,0.13919,0.03614,0.037142,0.37162,0.22239,0.16484,0.049874,0.10021,1.2280011244929794
699.82,252.89,770.45,138.16,34.706,268.45,71.698,18.428,0.10664,0.13924,0.036106,0.037087,0.37961,0.2224,0.16495,0.049923,0.10017,1.2361195423783136
697.25,216.78,773.19,145.57,30.119,269.3,72.793,18.356,0.10626,0.13987,0.036338,0.037018,0.39051,0.22203,0.16497,0.050369,0.10018,1.2475468456595262
699.91,291.01,784.01,130.02,30.44,231.68,72.09,16.776,0.10544,0.13661,0.037983,0.039581,0.42321,0.22237,0.16164,0.048975,0.10047,1.2762835625495927
757.04,211.59,512.34,6.7691,31.804,33.77,51.868,18.851,0.11044,0.13513,0.034031,0.044418,0.41801,0.22836,0.14615,0.048146,0.11321,1.2778875407162318
702.29,255.24,766.81,138.33,34.434,267.7,71.893,17.931,0.10657,0.13921,0.036144,0.03699,0.42913,0.22236,0.165,0.049965,0.099965,1.2853411615652488
