Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
480.4,1.972,139.16,2.1863,0.16464,0.636,0.24527,0.093179,0.18721,0.17306,0.081307,0.16399,0.10709,1.8517349925762612
480.21,1.9721,138.78,2.1614,0.16517,0.65376,0.24494,0.093588,0.18737,0.17305,0.081584,0.16458,0.1073,1.871347637239438
476.95,2.0607,138.78,2.1484,0.1654,0.67328,0.24473,0.093725,0.1873,0.17302,0.081739,0.16483,0.10739,1.8914128843842781
547.74,1.0247,135.91,2.16,0.16593,0.67688,0.2458,0.093267,0.1901,0.17362,0.081402,0.16527,0.10759,1.8998467952372882
544.45,1.0484,134.71,2.1551,0.166,0.67798,0.24563,0.093458,0.19001,0.17359,0.081457,0.16539,0.10761,1.9011412553036056
547.74,1.0247,135.91,2.1481,0.16622,0.68177,0.24562,0.093437,0.19019,0.17361,0.08155,0.16556,0.1077,1.9056501846956826
543.66,1.0758,134.82,2.1464,0.1662,0.68812,0.24543,0.093675,0.18997,0.17358,0.081568,0.16562,0.1077,1.9118544325095808
545.03,1.0325,133.59,2.186,0.16522,0.69431,0.24612,0.093135,0.18984,0.17361,0.081053,0.16464,0.10729,1.9152127199008007
545.29,1.0284,134.72,2.1518,0.1661,0.69626,0.24565,0.093444,0.19012,0.1736,0.081501,0.16546,0.10765,1.9197748290364791
535.99,1.0797,134.33,2.2022,0.16478,0.70321,0.24633,0.093017,0.18953,0.17356,0.080893,0.16418,0.10712,1.9226182504051652
