Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1094.4,0.25538,124.78,4.6009,0.22927,0.069485,0.13479,0.055599,0.055566,0.1056,0.6503047657500026
1103.1,0.25456,124.91,4.5641,0.23088,0.069507,0.13497,0.055709,0.055459,0.10602,0.6525489536258213
1081.6,0.25894,124.33,4.3697,0.23731,0.069827,0.13565,0.056081,0.054924,0.10817,0.6619550761596578
1117.4,0.25057,123.6,4.5581,0.24138,0.069479,0.13512,0.055757,0.05544,0.10611,0.6632882753278904
1081.6,0.25894,124.33,4.3374,0.23864,0.069887,0.13577,0.056163,0.054834,0.10857,0.6638724799986914
1084.6,0.26132,122.79,4.4368,0.24316,0.069656,0.13549,0.055938,0.055136,0.10726,0.6666436845399151
1084.3,0.26493,122.31,4.3722,0.24516,0.069736,0.13578,0.056119,0.054944,0.10804,0.6697767702029166
1061.8,0.26113,124.89,4.7155,0.25219,0.069412,0.13418,0.055263,0.055889,0.10434,0.6712694174250674
1070.0,0.26233,125.66,4.2709,0.246,0.070051,0.13595,0.05631,0.054667,0.10942,0.6724037703851631
1084.6,0.25958,123.18,4.3708,0.24939,0.069792,0.13572,0.056091,0.054935,0.10811,0.6740283711676671
