Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1144.8,0.52877,167.45,1.2853,0.18841,0.61351,0.24231,0.091386,0.20952,0.17112,0.10347,0.17606,0.11544,1.9112330268154984
1140.3,0.53917,166.55,1.3161,0.18751,0.62937,0.24226,0.091481,0.20862,0.17117,0.10272,0.17584,0.11514,1.9241053256384855
1160.0,0.5214,170.98,1.292,0.18814,0.63134,0.24235,0.091306,0.20934,0.17114,0.10328,0.17599,0.11535,1.9282432598731232
1160.2,0.51429,171.79,1.2916,0.18812,0.63231,0.24236,0.091266,0.20934,0.17114,0.10327,0.17599,0.11534,1.9291406736123637
1160.0,0.52108,170.99,1.3083,0.18763,0.63782,0.24233,0.091317,0.20886,0.17117,0.10287,0.17587,0.11518,1.9330478579593768
1159.6,0.52099,171.57,1.3091,0.18761,0.64153,0.24233,0.091319,0.20883,0.17117,0.10284,0.17586,0.11517,1.9366691420039661
1160.3,0.5161,171.31,1.2652,0.18897,0.64009,0.24239,0.091254,0.21014,0.17109,0.10394,0.17619,0.11564,1.9397138007823982
1158.7,0.50464,171.93,1.2819,0.18839,0.65484,0.24239,0.091203,0.20963,0.17112,0.10348,0.17606,0.11542,1.952540916673054
1131.0,0.55434,170.75,1.3005,0.1881,0.6569,0.2422,0.091584,0.2089,0.1712,0.10309,0.17598,0.11537,1.9533292191022715
1153.5,0.52109,177.06,1.2937,0.18812,0.67052,0.24232,0.09132,0.20914,0.17119,0.10317,0.17599,0.11537,1.9671360609931707
