Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
10.102,17.794,70.862,3.4527,0.14132,0.068759,0.13548,0.072913,1.1764,0.075958,1.6708492490443896
8.4016,19.737,66.43,3.5476,0.14359,0.071504,0.13346,0.073089,1.3655,0.076491,1.863653241410649
14.657,19.616,66.903,2.5781,0.15082,0.074071,0.16618,0.080417,1.306,0.098106,1.8756050591132478
14.147,19.432,62.498,2.3109,0.15599,0.078344,0.174,0.083731,1.3227,0.10635,1.9210752190511518
7.9311,18.188,52.125,3.3435,0.1513,0.08023,0.13536,0.075593,1.4308,0.082106,1.9553471371359021
14.785,19.431,61.059,2.2503,0.1569,0.079234,0.17567,0.08434,1.356,0.10804,1.960147560256522
14.172,19.432,61.118,2.2546,0.15713,0.079454,0.17547,0.08441,1.3601,0.1081,1.9646500546732688
14.315,19.051,59.906,2.3049,0.15668,0.079373,0.17326,0.08386,1.3813,0.10643,1.9808797614245925
15.044,19.436,60.486,2.2644,0.15673,0.079223,0.17508,0.084158,1.3952,0.10758,1.9980118549439672
8.1645,17.027,59.172,3.3843,0.1477,0.075566,0.13534,0.074769,1.4867,0.079782,1.999818026257261
