Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1639.3,0.20395,152.94,6.0891,0.17262,0.12981,0.32542,0.37162,0.25943,0.10157,0.11703,0.12019,0.12969,1.7273947733632273
1637.1,0.20494,152.26,6.04,0.17265,0.12972,0.34458,0.35929,0.25919,0.10155,0.11701,0.12038,0.1296,1.7339743923027549
1614.4,0.20732,151.9,6.0121,0.17266,0.1297,0.34745,0.36968,0.25909,0.1015,0.11701,0.12045,0.12954,1.747091257841919
1637.2,0.20436,152.24,6.0142,0.17262,0.12973,0.35357,0.36428,0.25914,0.10153,0.117,0.12049,0.12953,1.747889006801304
1649.9,0.20466,151.11,6.0213,0.17271,0.12961,0.38218,0.34138,0.25901,0.10158,0.11699,0.12045,0.12962,1.753520643086273
1632.1,0.20719,152.15,6.012,0.1727,0.1296,0.37255,0.35132,0.259,0.10155,0.117,0.12047,0.12956,1.7537540985687525
1633.5,0.2044,151.93,6.0097,0.17262,0.12974,0.35234,0.3759,0.25913,0.10152,0.117,0.1205,0.12953,1.758271302558413
1663.5,0.20593,149.96,6.0403,0.17286,0.12943,0.41884,0.31774,0.25887,0.10165,0.11697,0.12035,0.12974,1.7664480279949055
1655.4,0.20469,151.96,6.0037,0.17268,0.12958,0.39556,0.34115,0.25896,0.10159,0.11699,0.12054,0.12955,1.766590522978108
1636.3,0.20485,151.04,6.0295,0.17269,0.12969,0.35701,0.38013,0.25911,0.10155,0.117,0.1204,0.12962,1.767187661146202
