Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
770.54,0.50429,163.98,3.6285,5.3436e-05,0.14224,0.054138,0.12035,0.059685,0.071689,0.41193,0.8600276080011628
783.3,0.50551,163.97,3.5993,5.341e-05,0.14251,0.054178,0.12081,0.059865,0.071779,0.41207,0.8612174402582302
790.63,0.50523,164.28,3.6349,5.3984e-05,0.14248,0.054155,0.12045,0.059829,0.071596,0.41324,0.8617451360023813
776.06,0.50766,164.63,3.6425,5.3983e-05,0.14226,0.054147,0.12028,0.059717,0.071618,0.41402,0.8620472911392897
793.91,0.50577,164.48,3.6314,5.4018e-05,0.14252,0.054163,0.12053,0.059865,0.071604,0.41485,0.8635262461958773
781.08,0.50874,164.22,3.6318,5.3987e-05,0.14238,0.054152,0.12043,0.059778,0.07164,0.41961,0.8679884035722396
692.75,0.51596,171.69,3.6345,5.3989e-05,0.14114,0.054311,0.12041,0.059393,0.072095,0.42549,0.8728418505642097
752.7,0.50981,164.02,3.6286,5.3507e-05,0.14202,0.054132,0.12025,0.059577,0.071751,0.42528,0.8730131060977477
762.44,0.51303,164.2,3.6289,5.3974e-05,0.14217,0.054153,0.12038,0.059676,0.071718,0.42639,0.874487160613069
734.49,0.50199,163.36,3.8745,5.3985e-05,0.14072,0.053949,0.11673,0.058605,0.070761,0.43439,0.8751505761349732
