iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,807.3167438366468,195.43580766517724,175.81985940133555,10.42099893792591,1.4039161290741236,0.09256711680547117,1.4333811574888347
2,420.38825851208094,541.2702956385356,6.795682578965165,3.791513010515734,0.36799126299913987,0.09732995709820755,0.3989723505653435
3,737.6337757197795,857.5543498389986,64.4608923222501,6.339037707715056,0.6302155940648341,0.09334527143382126,0.6599283167907287
4,209.28772774287177,990.0314053466585,222.2998460414827,17.09275613809404,1.1099736208983273,0.1544227580527212,1.159127911438276
5,912.9229357208991,492.0386283748307,356.4889160682159,18.33485132756047,2.9390338505074953,0.22337640132063064,3.01013676738801
6,369.65506684273646,371.50622828844826,468.85816626195884,2.4577680050593127,2.2081381485924223,0.10389291589108285,2.241208290825015
7,517.6402577710522,672.6778043217319,383.436016293928,11.975154661831525,2.6089431028086962,0.2057596288539356,2.6744384268504113
8,118.94332089296321,107.54852475544816,285.5393053049694,15.21152290673387,1.2935825831185697,0.1609243358676289,1.3448063901527967
9,48.034,744.79,48.561,5.6153,0.5368790969993449,0.10658175834640837,0.5708051243678585
10,252.97,726.09,73.929,3.9813,0.08661742422483128,0.09831319843661776,0.1179114872295555
11,259.82,630.3,90.612,2.6689,0.07199332900580412,0.1029611321384208,0.10476687525813907
12,352.72,979.14,76.235,3.597,0.09297857588680666,0.09965074141843655,0.12469839204583956
13,307.37,901.35,74.54,2.1515,0.12383514051363079,0.10791328056441761,0.15818500456781004
14,335.5,810.47,82.27,2.3282,0.0347296916392647,0.10599673947411431,0.06846950171712293
15,331.85,805.72,85.944,2.5659,0.017606319425389327,0.10408600017526208,0.05073792229450301
16,324.64,795.01,86.187,2.5153,0.010858688420124224,0.10443597876804529,0.0441016929352735
17,319.85,786.76,84.743,2.7518,0.011631705735425029,0.10279182217340357,0.04435135895206557
18,319.65,787.11,86.895,2.5602,0.009946338676634196,0.10410479320085961,0.043083923551586883
19,304.44,768.76,81.76,3.3314,0.01243419040576823,0.09978930968674102,0.044198114214513806
20,316.64,787.0,87.851,2.4704,0.011078525850822727,0.10477475596879474,0.04442936649818423
21,315.72,791.22,88.806,2.4288,0.01155001166930643,0.1051158804152964,0.045009435600408376
22,306.45,756.57,81.903,3.4802,0.018523503268459956,0.09921723815168021,0.050105331051991345
23,302.6,739.14,80.227,3.367,0.011721366651654887,0.09954090198482352,0.043406219833075924
24,344.47,766.75,85.762,2.3074,0.015301783622659012,0.10596971038037739,0.0490329900727662
25,378.4,849.13,99.418,2.1683,0.09398305671619987,0.10746848584831342,0.12819133821492085
26,313.57,741.89,79.694,3.2052,0.014572105156265818,0.10015311853889908,0.04645183291933448
27,303.37,778.46,82.196,3.5543,0.022951871400121747,0.09913473447869978,0.05450743744889698
