Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
415.43,0.86108,75.389,4.5838,0.070895,0.14859,0.05524,0.80515,0.060764,0.10727,1.2479057844654944
415.44,0.87002,76.964,4.521,0.071054,0.14883,0.055119,0.80555,0.060934,0.10767,1.2491527131854763
415.42,0.86703,75.269,4.5657,0.070925,0.14887,0.055209,0.80842,0.060903,0.10742,1.2517445504081997
414.71,0.87297,76.182,4.6196,0.070822,0.148,0.055314,0.81471,0.060499,0.10688,1.2562212842324214
415.47,0.86334,75.371,4.553,0.070961,0.14895,0.055182,0.81277,0.060947,0.10753,1.2563400123101414
415.17,0.88932,76.616,4.5797,0.070887,0.14843,0.055243,0.81456,0.060723,0.10715,1.2569899574936416
413.17,0.83977,74.711,4.63,0.070844,0.14806,0.055314,0.81535,0.060492,0.10699,1.2570470685078412
420.26,0.87862,74.044,4.5829,0.070785,0.14934,0.055262,0.81333,0.061087,0.10734,1.2571425032016044
419.72,0.8704,77.221,4.5298,0.07098,0.14881,0.055141,0.81668,0.060916,0.10756,1.260093727939274
424.49,0.86662,75.933,4.5504,0.070853,0.14916,0.055194,0.81877,0.06103,0.10747,1.2624773819682942
