Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
622.05,238.28,327.64,9.4573,299.41,0.67954,45.423,17.095,0.23633,0.15496,0.040334,0.47378,0.061569,0.12847,0.048923,0.12491,0.12808,1.397364486328524
617.44,238.97,318.39,14.66,298.34,0.27118,42.694,17.3,0.2348,0.152,0.040386,0.50977,0.060236,0.12291,0.04709,0.12505,0.12988,1.4221162365819797
763.71,219.77,275.0,6.0728,299.63,0.51538,44.018,17.314,0.23702,0.15558,0.047443,0.54832,0.062424,0.13232,0.053745,0.12587,0.1283,1.4910275064298202
638.3,29.803,314.78,8.6829,297.75,124.76,82.136,15.727,0.22508,0.15091,0.043355,0.59698,0.056241,0.12279,0.057881,0.11911,0.12441,1.4967582828811046
635.8,281.5,283.69,2.8639,336.91,27.39,38.162,19.208,0.2336,0.16222,0.045714,0.53483,0.062257,0.17105,0.052265,0.1226,0.12168,1.506213462867556
642.96,29.756,322.62,6.5522,307.44,162.83,80.485,17.162,0.22548,0.15342,0.044712,0.61195,0.057126,0.12579,0.057722,0.11997,0.12356,1.519727324748252
621.03,9.2993,313.3,15.098,341.9,193.77,113.7,15.568,0.22299,0.14729,0.044914,0.63848,0.053695,0.11464,0.05784,0.12034,0.12696,1.5271434531896506
576.58,309.23,249.31,3.4335,372.5,17.725,36.606,16.014,0.23498,0.16142,0.044986,0.53799,0.061722,0.19025,0.052729,0.123,0.1232,1.5302839875417968
620.84,22.751,266.49,10.649,299.73,110.71,86.621,17.174,0.22664,0.15221,0.04141,0.63365,0.057177,0.12257,0.056448,0.11994,0.12525,1.5352882180240566
641.1,276.26,275.88,6.2644,299.59,0.89886,43.908,17.313,0.23797,0.15761,0.042637,0.60053,0.063043,0.13431,0.051141,0.12523,0.1269,1.5393612843353561
