Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
90.092,19.766,186.1,2.953,0.14882,0.076546,0.14206,0.081239,2.5784,0.074473,3.1015630146454476
86.052,19.119,187.83,2.9123,0.14946,0.077155,0.14193,0.081522,2.586,0.074677,3.110792605449629
85.975,19.103,188.6,2.9002,0.14967,0.077355,0.142,0.081581,2.5857,0.074816,3.1110917213367735
89.814,19.481,185.65,2.8752,0.14973,0.077221,0.14254,0.081683,2.5855,0.075066,3.1117185921273967
90.262,18.959,185.19,2.9822,0.1482,0.075917,0.14165,0.081148,2.5939,0.073884,3.114721934548691
92.714,19.717,185.54,2.9523,0.14871,0.076356,0.14218,0.081238,2.5937,0.074443,3.1166196464319684
85.512,18.835,188.36,2.8349,0.15044,0.077942,0.14247,0.081974,2.5923,0.07535,3.120474693044412
84.961,19.112,186.51,2.8641,0.15,0.07756,0.14233,0.081814,2.5946,0.075091,3.121437990069237
92.108,19.626,187.16,2.97,0.14861,0.076357,0.14193,0.081137,2.6008,0.074309,3.1231296954787604
89.217,19.177,188.61,3.0639,0.14756,0.075617,0.14093,0.080686,2.6054,0.073367,3.1235566618260835
