Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
4.1329,580.43,667.33,860.35,230.43,631.12,87.188,8.8923,0.060214,0.45295,0.10772,0.12905,0.22283,0.038677,0.038861,0.1039,0.13488,1.289085513245749
4.1276,580.47,667.42,860.19,227.49,631.74,87.611,9.0581,0.059813,0.45724,0.10777,0.12889,0.22284,0.038885,0.038633,0.10395,0.13484,1.2928556849793775
4.0769,571.63,668.78,860.31,235.55,631.18,88.023,9.4361,0.059404,0.45992,0.10772,0.12855,0.22276,0.039193,0.038074,0.10442,0.13425,1.2942768874749655
4.0377,579.59,664.75,860.19,228.05,632.55,87.5,8.9469,0.060288,0.46378,0.10769,0.12879,0.22288,0.03876,0.038826,0.10408,0.13474,1.2998197539716563
4.2679,579.6,664.4,860.19,227.05,601.88,86.993,9.5413,0.057873,0.4716,0.11071,0.12897,0.22273,0.039571,0.037743,0.10347,0.13477,1.3074459468679895
4.1598,579.57,664.6,860.19,228.41,602.05,87.134,9.5403,0.058198,0.48107,0.10989,0.12879,0.22278,0.039504,0.037784,0.10368,0.13456,1.3162565782347788
4.2679,579.65,664.71,860.19,216.69,601.38,87.224,9.5542,0.057506,0.48039,0.11192,0.12891,0.22284,0.039804,0.037793,0.10322,0.13506,1.3174428597204313
4.1361,585.24,667.44,860.18,231.52,632.23,86.365,9.0611,0.059949,0.48204,0.10776,0.129,0.22278,0.03877,0.038634,0.10396,0.13481,1.3177008783929358
4.6038,579.6,664.77,860.19,227.71,601.57,84.891,9.558,0.056971,0.48734,0.11445,0.12966,0.2225,0.039684,0.037609,0.10286,0.13538,1.3264601324291216
4.2215,580.25,664.7,860.19,227.01,636.31,88.399,9.5457,0.058866,0.49249,0.10803,0.12857,0.22276,0.039402,0.037955,0.10419,0.13457,1.3268205088195706
