Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
2085.9,0.13807,173.13,2.3313,0.0047333,0.0047333214954770894
