Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1998.7,0.11465,125.75,19.955,0.13046,0.19481,0.055905,0.08408,0.071395,0.062013,0.5986635048013974
1998.8,0.11463,125.77,19.954,0.13046,0.19481,0.055905,0.084082,0.071392,0.062013,0.5986642188538264
2000.0,0.11471,125.82,20.0,0.13047,0.19481,0.055905,0.08407,0.071405,0.062003,0.5986697120034753
2000.0,0.11474,125.85,19.998,0.13047,0.19506,0.055906,0.084071,0.071403,0.062002,0.5989126126304682
2000.0,0.11474,125.86,20.0,0.13047,0.19508,0.055906,0.084071,0.071403,0.062002,0.59893238608552
2000.0,0.11464,125.98,20.0,0.13045,0.19528,0.055906,0.084084,0.071386,0.061999,0.5991014977419294
1998.7,0.11442,125.75,19.938,0.13044,0.19535,0.055904,0.084093,0.07138,0.062018,0.5991926091335283
1998.7,0.1142,126.06,19.966,0.1304,0.19547,0.055905,0.084119,0.071344,0.062004,0.5992432055649786
2000.0,0.11475,125.75,19.857,0.13046,0.19548,0.055905,0.084088,0.071387,0.062035,0.5993528522723055
2000.0,0.11503,125.22,19.999,0.13056,0.19546,0.055902,0.084015,0.071478,0.062018,0.5994349753702263
