Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
167.3,1.337e-05,458.71,3.1532,0.082674,0.10517,0.067331,0.16858,1.4201,0.36067,0.083362,0.17836,0.12856,2.594772186529848
216.3,0.00010615,456.65,3.8585,0.083594,0.10871,0.065778,0.16526,1.6277,0.24104,0.082271,0.17829,0.13182,2.684409284174867
3435.0,2.6112,450.89,4.0462,0.093374,0.1401,0.070368,0.16004,1.2145,0.59689,0.07987,0.13897,0.25247,2.746589219663856
3432.0,2.6026,449.87,4.0692,0.093584,0.1398,0.070281,0.16009,1.2467,0.58578,0.079769,0.13921,0.25146,2.766721593746184
3446.1,2.6181,449.81,4.0578,0.093331,0.13978,0.070414,0.16011,1.2305,0.60499,0.079926,0.13906,0.25158,2.7696746185728642
3416.6,2.6086,452.45,4.0015,0.093208,0.141,0.070383,0.15983,1.2447,0.61084,0.079869,0.13855,0.25526,2.793593442412598
3432.5,2.5618,450.83,4.0452,0.093418,0.14062,0.070514,0.16006,1.234,0.63096,0.079918,0.13877,0.25552,2.803721336673927
315.44,0.00035316,457.21,7.3654,0.085359,0.10359,0.075535,0.1672,1.5449,0.43077,0.087796,0.17558,0.14383,2.8145307190955373
3449.1,2.6507,449.85,4.0145,0.092909,0.14022,0.070537,0.15999,1.2745,0.67942,0.080087,0.13869,0.25274,2.8891064237216995
222.39,0.00016855,466.61,3.8367,0.084516,0.11085,0.064273,0.16403,1.8653,0.2262,0.081301,0.17808,0.13292,2.9074304274129052
