Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
24.379,0.0080615,488.78,5.5544,0.080965,0.1439,0.094155,0.17091,1.2808,0.36823,0.10182,0.14358,0.41676,2.801111350100981
24.31,0.007981,488.41,5.5883,0.081087,0.1435,0.094196,0.17091,1.3097,0.3538,0.10179,0.14366,0.41452,2.8131386952133064
23.858,0.0080508,487.28,5.4924,0.080767,0.14464,0.094192,0.17093,1.2663,0.39083,0.10198,0.14336,0.42125,2.814208239766959
24.372,0.0080522,488.18,5.4952,0.080721,0.14465,0.094144,0.17092,1.2602,0.40102,0.10195,0.14341,0.42126,2.818312043329153
24.187,0.007644,488.72,5.5349,0.080805,0.14424,0.094412,0.17097,1.2846,0.38522,0.10211,0.14345,0.41979,2.82555867290028
24.878,0.00809,489.49,5.5091,0.080733,0.14451,0.094095,0.1709,1.2684,0.40296,0.10188,0.1435,0.42027,2.827202550160052
24.179,0.0075293,488.55,5.4917,0.080604,0.14482,0.094474,0.17099,1.2586,0.41484,0.10227,0.14332,0.42354,2.8334323732508544
23.237,0.0078673,488.14,5.4797,0.080761,0.14477,0.094419,0.17099,1.3031,0.388,0.10217,0.14324,0.42261,2.8500441166788897
26.782,0.0077191,499.06,5.5894,0.080825,0.14367,0.094355,0.17097,1.2966,0.40431,0.10193,0.14385,0.4163,2.852768859823305
25.622,0.0073363,489.58,5.4881,0.080374,0.14508,0.09437,0.17096,1.2412,0.46973,0.10229,0.14337,0.42515,2.872526158900648
